translatedText,text
ẹlẹtan,cheater
àwọn ẹlẹ́tàn,cheaters
Iyanjẹ,cheats
alainidunnu,cheerless
omode,childish
gbigbọn,chilling
pa,choke
gbungbun,choked
chokes,chokes
gbigbọn,choking
figagbaga,clash
awọsanma,clouded
alainidi,clueless
akukọ,cock
akukọ,cocksucker
cocksuckers,cocksuckers
akotan,cocky
fi agbara mu,coerced
subu,collapse
ṣubu,collapsed
ṣubu,collapses
kọlu,collapsing
kọlu,collide
collides,collides
colliding,colliding
ijamba,collision
awọn ikọlu,collisions
ifowosowopo,colluding
ija,combat
awọn ija,combats
alaigbọran,complacent
kerora,complain
rojọ,complained
nkùn,complains
da lẹbi,condemn
ìdálẹ́bi,condemnation
da lẹbi,condemned
lẹbi,condemns
rogbodiyan,conflict
ori gbarawọn,conflicting
ori gbarawọn,conflictive
rogbodiyan,conflicts
dapo,confuse
dapo,confused
airoju,confusing
rikisi,conspiracy
rọ,constrained
itankale,contagion
àkóràn,contagions
tó leè ranni,contagious
ẹgan,contempt
ẹgan,contemptuous
ẹgan,contemptuously
jà,contend
oludije,contender
ìjà,contending
àríyànjiyàn,contentious
idije,contestable
àríyànjiyàn,controversial
àríyànjiyàn,controversially
igun,cornered
òkú,corpse
leri,costly
da nkan bo,cover-up
ojo,coward
ojo,cowardly
inira,cramp
inira,crap
jamba,crash
aṣiwere,crazier
craziest,craziest
aṣiwere,crazy
crestfallen,crestfallen
sunkún,cried
igbe,cries
ilufin,crime
odaran,criminal
ọdaràn,criminals
idaamu,crisis
alariwisi,critic
alariwisi,criticism
ṣofintoto,criticize
ti ṣofintoto,criticized
ṣofintoto,criticizes
alariwisi,criticizing
alariwisi,critics
ìka,cruel
ìkà,cruelty
fifun pa,crush
itemole,crushed
fọ,crushes
fifun pa,crushing
kigbe,cry
ẹkún,crying
obo,cunt
eegun,curse
ge,cut
gige,cuts
gige,cutting
ẹlẹmii,cynic
alakikanju,cynical
alaigbagbọ,cynicism
bibajẹ,damage
awọn bibajẹ,damages
Gbaga,damn
eeyan,damned
damnit,damnit
Ijamba,danger
dudu julọ,darkest
okunkun,darkness
ti ku,dead
pipade,deadlock
adití,deafening
iku,death
gbese,debt
ẹtan,deceit
arekereke,deceitful
tan,deceive
tan,deceived
n tannijẹ,deceives
etan,deceiving
etan,deception
ṣẹgun,defeated
abawọn,defect
awọn abawọn,defects
ti ko ni aabo,defenseless
idaduro,defer
idaduro,deferring
alaigbọran,defiant
aipe,deficit
irẹlẹ,degrade
abuku,degraded
awọn ibajẹ,degrades
aiṣedeede eniyan,dehumanize
dehumanized,dehumanized
dehumanizes,dehumanizes
irẹwẹsi eniyan,dehumanizing
kọlu,deject
aibanujẹ,dejected
dejecting,dejecting
dejects,dejects
idaduro,delay
leti,delayed
eletan,demand
ti beere,demanded
nbeere,demanding
awọn ibeere,demands
ifihan,demonstration
irẹwẹsi,demoralized
sẹ,denied
denier,denier
awọn onigbagbọ,deniers
sẹ,denies
ibaniwi,denounce
awọn ibaniwi,denounces
sẹ,deny
kiko,denying
ibanujẹ,depressed
ibanujẹ,depressing
derail,derail
derailed,derailed
derails,derails
ṣe yẹyẹ,deride
ṣẹ̀sín,derided
ẹlẹyà,derides
ṣe yẹyẹ,deriding
ẹgan,derision
ibanuje,despair
ireti,despairing
ireti,despairs
alainireti,desperate
ogbon,desperately
aibanujẹ,despondent
run,destroy
run,destroyed
ìparun,destroying
ìparun,destroys
ìparun,destruction
apanirun,destructive
ti ya sọtọ,detached
idaduro,detain
atimole,detained
atimọle,detention
iparun,devastate
ti bajẹ,devastated
apanirun,devastating
dick,dick
dickhead,dickhead
kú,die
ku,died
nira,difficult
iyatọ,diffident
idaamu,dilemma
dipshit,dipshit
dire,dire
adari,direful
idoti,dirt
idọti,dirtier
idọti julọ,dirtiest
idọti,dirty
disabling,disabling
alailanfani,disadvantage
alailanfani,disadvantaged
farasin,disappear
nù,disappeared
farasin,disappears
jakulẹ,disappoint
banuje,disappointed
itiniloju,disappointing
oriyin,disappointment
awọn ibanujẹ,disappointments
ibanuje,disappoints
ajalu,disaster
ajalu,disasters
ajalu,disastrous
aigbagbọ,disbelieve
danu,discard
asonu,discarded
yiyọ,discarding
danu,discards
yọ kuro,disconsolate
aibanujẹ,disconsolation
alainitotan,discontented
iyapa,discord
ẹdinwo,discounted
ailera,discouraged
aiṣedeede,discredited
kẹgàn,disdain
itiju,disgrace
itiju,disgraced
paarọ,disguise
para,disguised
disguises,disguises
disguising,disguising
ìríra,disgust
ìríra,disgusted
ìríra,disgusting
aibanujẹ,disheartened
alaisododo,dishonest
ibanuje,disillusioned
alaigbọran,disinclined
disjointed,disjointed
korira,dislike
dismal,dismal
aibanujẹ,dismayed
rudurudu,disorder
disorganized,disorganized
disoriented,disoriented
disparage,disparage
alaigbọran,disparaged
disparages,disparages
disparaging,disparaging
binu,displeased
àríyànjiyàn,dispute
àríyànjiyàn,disputed
àríyànjiyàn,disputes
àríyànjiyàn,disputing
iwakọ,disqualified
aibanujẹ,disquiet
aibikita,disregard
aibikita,disregarded
aibikita,disregarding
aibikita,disregards
aibọwọ,disrespect
alaibọwọ,disrespected
idalọwọduro,disruption
idalọwọduro,disruptions
idalọwọduro,disruptive
alainitelorun,dissatisfied
daru,distort
daru,distorted
yiyọ,distorting
distorts,distorts
distract,distract
ni idamu,distracted
idiwọ,distraction
distracts,distracts
ipọnju,distress
ipọnju,distressed
awọn ipọnju,distresses
ipọnju,distressing
igbekele,distrust
aigbagbọ,distrustful
disturb,disturb
dojuru,disturbed
idamu,disturbing
disturbs,disturbs
dithering,dithering
dizzy,dizzy
sa,dodging
alakikanju,dodgy
ko ṣiṣẹ,does not work
dolorous,dolorous
ko fẹran,dont like
ìparun,doom
ijakule,doomed
iyemeji,doubt
iyemeji,doubted
iyemeji,doubtful
ṣiyemeji,doubting
iyemeji,doubts
douche,douche
douchebag,douchebag
irẹlẹ,downcast
onirẹlẹ ọkan,downhearted
ẹgbẹ,downside
fa,drag
fa,dragged
fa,drags
drained,drained
ibẹru,dread
adẹtẹ,dreaded
adẹtẹ,dreadful
ibẹrubojo,dreading
ibanujẹ,dreary
droopy,droopy
ju silẹ,drop
rì,drown
rì,drowned
rì,drowns
mu yó,drunk
iyemeji,dubious
dud,dud
ṣigọgọ,dull
odi,dumb
odi,dumbass
idasonu,dump
dànù,dumped
idalenu,dumps
dupe,dupe
doped,duped
alailoye,dysfunction
eeri,eerie
eery,eery
itiju,embarrass
idojuti,embarrassed
dãmu,embarrasses
itiju,embarrassing
itiju,embarrassment
kikoro,embittered
pajawiri,emergency
ofo,emptiness
ofo,empty
awọn ọta,enemies
ota,enemy
ennui,ennui
ibinu,enrage
binu,enraged
ibinu,enrages
ibinu,enraging
ẹrú,enslave
ẹrú,enslaved
ẹrú,enslaves
ilara,envies
ilara,envious
ilara,envy
ilara,envying
aṣiṣe,erroneous
aṣiṣe,error
awọn aṣiṣe,errors
sa,escape
sa,escapes
yọ kuro,escaping
yiyọ kuro,eviction
ibi,evil
ṣe àṣejù,exaggerate
abumọ,exaggerated
exaggerates,exaggerates
àsọdùn,exaggerating
ifesi,exclude
rara,excluded
iyasoto,exclusion
ikewo,excuse
alayokuro,exempt
rẹwẹsi,exhausted
le jade,expel
ti jade,expelled
gbigbe jade,expelling
expels,expels
lo nilokulo,exploit
yanturu,exploited
ilokulo,exploiting
exploits,exploits
fi han,expose
fara,exposed
ṣipaya,exposes
ṣiṣafihan,exposing
fad,fad
fagilee,fag
fagot,faggot
fagots,faggots
kuna,fail
kuna,failed
kuna,failing
kuna,fails
ikuna,failure
awọn ikuna,failures
aibanujẹ,fainthearted
iro,fake
iro,fakes
ayederu,faking
ṣubu,fallen
ja bo,falling
eke,falsified
ṣe iro,falsify
irọra,farce
fascist,fascist
fascists,fascists
awọn apaniyan,fatalities
ipaniyan,fatality
rirẹ,fatigue
o rẹwẹsi,fatigued
awọn ailera,fatigues
bani o,fatiguing
iberu,fear
ibẹru,fearful
ibẹru,fearing
ẹru,fearsome
jẹun,fed up
alailera,feeble
odaran,felonies
ese odaran,felony
fiasco,fiasco
fidgety,fidgety
ja,fight
ina,fire
lenu ise,fired
ibọn,firing
sá,flees
flop,flop
flops,flops
aisan,flu
flustered,flustered
aṣiwere,fool
aṣiwèrè,foolish
awọn aṣiwere,fools
fi agbara mu,forced
igba lọwọ ẹni,foreclosure
awọn gbigbapada,foreclosures
gbagbe,forget
gbagbe,forgetful
gbagbe,forgotten
alaigbọran,frantic
jegudujera,fraud
arekereke,frauds
arekereke,fraudster
arekereke,fraudsters
arekereke,fraudulence
arekereke,fraudulent
aṣiwere,frenzy
ẹru,fright
bẹru,frightened
dẹruba,frightening
frikin,frikin
frowning,frowning
ibanuje,frustrate
ibanuje,frustrated
ibanuje,frustrates
ibanuje,frustrating
ibanuje,frustration
fokii,fuck
buruku,fucked
Eniyan arinilara,fucker
awọn ẹlẹgàn,fuckers
fuckface,fuckface
fuckhead,fuckhead
onibaje,fucking
onibaje,fucktard
irọrun,fud
fuked,fuked
fuking,fuking
fuming,fuming
isinku,funeral
isinku,funerals
ibinu,furious
gag,gag
gagged,gagged
iwin,ghost
giddy,giddy
òkùnkùn,gloom
ikunsinu,gloomy
gomu,glum
olorun,goddamn
ibojì,grave
grẹy,gray
ojukokoro,greed
ojukokoro,greedy
alawọ ewe w,green wash
fifọ alawọ ewe,green washing
fifọ alawọ ewe,greenwash
ẹrọ fifọ alawọ ewe,greenwasher
awọn agbẹ alawọ ewe,greenwashers
alawọ ewe,greenwashing
grẹy,grey
ibanuje,grief
banuje,grieved
nla,gross
ẹṣẹ,guilt
jẹbi,guilty
gullibility,gullibility
tànjẹ,gullible
ibon,gun
ti gepa,hacked
alaini,hapless
ailagbara,haplessness
lile,hard
ipọnju,hardship
ipalara,harm
farapa,harmed
ipalara,harmful
ipalara,harming
ipalara,harms
harried,harried
lile,harsh
alakikanju,harsher
lile julọ,harshest
ikorira,hate
korira,hated
awọn ikorira,haters
korira,hates
ikorira,hating
haunt,haunt
Ebora,haunted
haunts,haunts
iparun,havoc
ibanuje okan,heartbreaking
aiya,heartbroken
akinkanju,heavyhearted
apaadi,hell
ainiagbara,helpless
iyemeji,hesitant
ṣiyemeji,hesitate
farasin,hid
tọju,hide
fi ara pamọ,hides
nọmbafoonu,hiding
idiwo,hindrance
itanjẹ,hoax
Àárò ilé,homesick
hooligan,hooligan
hooliganism,hooliganism
hooligans,hooligans
ireti,hopeless
ainireti,hopelessness
ibanuje,horrendous
oburewa,horrible
oburewa,horrific
ibanuje,horrified
alatako,hostile
apanirun,huckster
itiju,humiliated
itiju,humiliation
ebi,hunger
farapa,hurt
farapa,hurting
dun,hurts
agabagebe,hypocritical
hysteria,hysteria
hysterical,hysterical
hysterics,hysterics
omugo,idiot
omugo,idiotic
aimokan,ignorance
alaimọ,ignorant
foju,ignore
bikita,ignored
foju kọ,ignores
aisan,ill
arufin,illegal
aimowe,illiteracy
àìsàn,illness
awọn aisan,illnesses
alaigbọran,imbecile
aisedeede,immobilized
ikanju,impatient
aláìpé,imperfect
fawon,impose
ti paṣẹ,imposed
fi ofin de,imposes
fifi agbara mu,imposing
alailagbara,impotent
ewon,imprisoned
ailagbara,inability
aisise,inaction
aito,inadequate
alailagbara,incapable
alailagbara,incapacitated
ibinu,incensed
ailagbara,incompetence
alailagbara,incompetent
alaironu,inconsiderate
inira,inconvenience
korọrun,inconvenient
alaigbagbọ,indecisive
aibikita,indifference
alainaani,indifferent
ibinu,indignant
ibinu,indignation
indoctrinate,indoctrinate
indoctrinated,indoctrinated
indoctrinates,indoctrinates
indoctrinating,indoctrinating
ailagbara,ineffective
ineffectively,ineffectively
ti kó àrùn,infected
eni ti o kere,inferior
inflamed,inflamed
irufin,infringement
binu,infuriate
binu,infuriated
infuriates,infuriates
infuriating,infuriating
dojuti,inhibit
farapa,injured
ipalara,injury
aiṣododo,injustice
ibeere,inquisition
were,insane
aṣiwere,insanity
ailewu,insecure
alaigbọran,insensitive
aibikita,insensitivity
alainilara,insignificant
insipid,insipid
itiju,insult
ẹgan,insulted
itiju,insulting
ẹgan,insults
fọ̀rọ̀ wá a lẹ́nu wò,interrogated
da gbigbi,interrupt
idilọwọ,interrupted
kikọlu,interrupting
idalọwọduro,interruption
idilọwọ,interrupts
dẹruba,intimidate
deruba,intimidated
deruba,intimidates
deruba,intimidating
idẹruba,intimidation
ibinu,irate
ironu,ironic
irony,irony
alaigbọran,irrational
irresolute,irresolute
aidibajẹ,irreversible
binu,irritate
hihun,irritated
hihun,irritating
ti ya sọtọ,isolated
yun,itchy
jackass,jackass
jackasses,jackasses
ewon,jailed
owú,jealous
ewu,jeopardy
oloriburuku,jerk
alainidunnu,joyless
fo,jumpy
pa,kill
pa,killed
pipa,killing
pa,kills
aini,lack
lackadaisical,lackadaisical
aisun,lag
aisun,lagged
alailara,lagging
lags,lags
Arọ,lame
ẹjọ,lawsuit
awọn ẹjọ,lawsuits
ọlẹ,lazy
jo,leak
ti jo,leaked
lọ kuro,leave
alaigbọran,lethargic
alaigbọran,lethargy
opuro,liar
opuro,liars
alailagbara,libelous
puro,lied
aropin,limitation
lopin,limited
ifilelẹ lọ,limits
ẹjọ,litigation
ẹjọ,litigious
livid,livid
korira,loathe
korira,loathed
korira,loathes
ikorira,loathing
ibebe,lobby
nparowa,lobbying
ìdánìkanwà,lonely
dáwà,lonesome
npongbe,longing
loom,loom
loomed,loomed
looming,looming
looms,looms
alaimuṣinṣin,loose
looses,looses
olofo,loser
ọdun,losing
ipadanu,loss
sọnu,lost
ni asuwon ti,lowest
lugubrious,lugubrious
aṣiwere,lunatic
aṣiwere,lunatics
farabale,lurk
farapamọ́,lurking
lururu,lurks
asiwere,mad
aṣiwere,maddening
ṣe-soke,made-up
asiwere,madly
isinwin,madness
Dandan,mandatory
ifọwọyi,manipulated
ifọwọyi,manipulating
ifọwọyi,manipulation
asan,meaningless
mediocrity,mediocrity
melancholy,melancholy
ewu,menace
ewu,menaced
idotin,mess
ti bajẹ,messed
idotin,messing up
alaironu,mindless
iwa aiṣedeede,misbehave
aiṣedeede,misbehaved
iwa aiṣedeede,misbehaves
aiṣedeede,misbehaving
iwa ibaje,mischief
iwa ibaje,mischiefs
ibanuje,miserable
ibanujẹ,misery
aiṣedede,misgiving
alaye ti ko tọ,misinformation
alaye ti ko tọ,misinformed
itumọ ti ko tọ,misinterpreted
sinilona,misleading
aiṣedeede,misread
iroyin ti ko tọ,misreporting
ijuwe ti ko tọ,misrepresentation
padanu,miss
padanu,missed
sonu,missing
ìfípáda,mistake
ṣe aṣiṣe,mistaken
awọn aṣiṣe,mistakes
aṣiṣe,mistaking
gbọye,misunderstand
ede-aiyede,misunderstanding
gbọye,misunderstands
gbọye,misunderstood
kérora,moan
kérora,moaned
sokun,moaning
moans,moans
ẹgan,mock
ṣẹ̀sín,mocked
ṣe ẹlẹyà,mocking
ẹlẹgàn,mocks
mongering,mongering
monopolize,monopolize
monopolized,monopolized
monopolizes,monopolizes
monopolizing,monopolizing
irẹwẹsi,moody
mope,mope
moping,moping
moron,moron
abiyamọ,motherfucker
fifẹ iya,motherfucking
ṣọfọ,mourn
ṣọfọ,mourned
ṣọfọ,mournful
ṣọfọ,mourning
ṣọfọ,mourns
mumpish,mumpish
ipaniyan,murder
apànìyàn,murderer
ipaniyan,murdering
apànìyàn,murderous
ipaniyan,murders
aroso,myth
n00b,n00b
alaimọ,naive
ẹgbin,nasty
rara,naïve
alaini,needy
odi,negative
aibikita,negativity
igbagbe,neglect
igbagbe,neglected
aibikita,neglecting
igbagbe,neglects
awọn iṣan,nerves
aifọkanbalẹ,nervous
aifọkanbalẹ,nervously
niggas,niggas
nigger,nigger
rara,no
ko si igbadun,no fun
alariwo,noisy
isọkusọ,nonsense
noob,noob
nosy,nosey
ko dara,not good
ko ṣiṣẹ,not working
ogbontarigi,notorious
pa,numb
eso,nuts
parun,obliterate
parun,obliterated
obnoxious,obnoxious
ohun aibikita,obscene
ti atijo,obsolete
idiwọ,obstacle
idiwo,obstacles
agídí,obstinate
ajeji,odd
ṣẹ,offend
ṣẹ,offended
ẹlẹṣẹ,offender
ṣẹ,offending
ṣẹ,offends
aisinipo,offline
inilara,oppressed
aninilara,oppressive
iyan,optionless
igbe,outcry
outmaneuvered,outmaneuvered
ibinu,outrage
ibinu,outraged
apọju,overload
aṣemáṣe,overlooked
àṣejù,overreact
apọju,overreacted
àṣejù,overreaction
apọju,overreacts
alagbata,oversell
apọju,overselling
oversells,oversells
apọju,oversimplification
apọju,oversimplified
oversimplifies,oversimplifies
apọju,oversimplify
apọju,overstatement
awọn ọrọ asọye,overstatements
apọju iwọn,overweight
oxymoron,oxymoron
irora,pain
irora,pained
ẹrù,panic
ijaaya,panicked
ijaaya,panics
paradox,paradox
parley,parley
palolo,passive
palolo,passively
ìbànújẹ́,pathetic
san,pay
ifiyaje,penalty
pensive,pensive
ewu,peril
ijẹri eke,perjury
oluṣe,perpetrator
awọn ẹlẹṣẹ,perpetrators
daamu,perplexed
inunibini si,persecute
inunibini si,persecuted
inunibini,persecutes
inunibini,persecuting
idamu,perturbed
pesky,pesky
aibikita,pessimism
alainireti,pessimistic
petrified,petrified
phobic,phobic
Kóra jọ,pileup
pique,pique
lilu,piqued
ibinu,piss
binu,pissed
ibinujẹ,pissing
piteous,piteous
àánú,pitied
anu,pity
ni imurasilẹ,poised
majele,poison
majele,poisoned
majele,poisons
ẹlẹgbin,pollute
alaimọ,polluted
ẹlẹgbin,polluter
awọn onibajẹ,polluters
idoti,pollutes
talaka,poor
talaka,poorer
talaka,poorest
oniwun,possessive
sun siwaju,postpone
sun siwaju,postponed
postpones,postpones
idaduro,postponing
osi,poverty
lapa,powerless
prblm,prblm
prblms,prblms
titẹ,pressure
titẹ,pressured
dibọn,pretend
n dibon,pretending
dibọn,pretends
dena,prevent
dena,prevented
idilọwọ,preventing
idilọwọ,prevents
prick,prick
tubu,prison
ẹlẹwọn,prisoner
elewon,prisoners
iṣoro,problem
awọn iṣoro,problems
olutaja,profiteer
ete,propaganda
ṣe idajọ,prosecute
ẹjọ,prosecuted
prosecutes,prosecutes
ibanirojọ,prosecution
fi ehonu han,protest
alainitelorun,protesters
ehonu,protesting
ehonu,protests
ru,provoke
binu,provoked
ru,provokes
imunibinu,provoking
pseudoscience,pseudoscience
fìyà jẹni,punish
jiya,punished
fi ìyà jẹ,punishes
ifiyaje,punitive
titari,pushy
iruju,puzzled
gbigbọn,quaking
ni ibeere,questionable
ibeere,questioned
bibeere,questioning
ẹlẹyamẹya,racism
ẹlẹyamẹya,racist
ẹlẹyamẹya,racists
ibinu,rage
ibinu,rageful
ojo,rainy
ariwo,rant
olutọju,ranter
awọn olutọju,ranters
ibinujẹ,rants
ifipabanilopo,rape
ifipabanilopo,rapist
sisu,rash
iṣọtẹ,rebellion
ipadasẹhin,recession
aibikita,reckless
kọ,refuse
kọ,refused
kiko,refusing
banuje,regret
banuje,regretful
banuje,regrets
banuje,regretted
banuje,regretting
kọ,reject
kọ,rejected
kiko,rejecting
kọ,rejects
alaigbọran,relentless
banuje,remorse
korira,repulse
korira,repulsed
ibinu,resentful
fi ipo silẹ,resign
fi ipo silẹ,resigned
fi ipo silẹ,resigning
fi ipo silẹ,resigns
isimi,restless
ni ihamọ,restrict
ihamọ,restricted
ihamọ,restricting
ihamọ,restriction
awọn ihamọ,restricts
ni idaduro,retained
idaduro,retard
idaduro,retarded
padasehin,retreat
igbẹsan,revenge
igbẹsan,revengeful
yeye,ridiculous
rig,rig
rigged,rigged
rogbodiyan,riot
rudurudu,riots
ewu,risk
awọn ewu,risks
jale,rob
adigunjale,robber
wọ aṣọ,robed
jija,robing
jija,robs
ìparun,ruin
ti baje,ruined
iparun,ruining
ahoro,ruins
sabotage,sabotage
ibanuje,sad
ibanuje,sadden
banuje,saddened
ibanuje,sadly
sappy,sappy
ẹlẹgàn,sarcastic
itanjẹ,scam
itanjẹ,scams
sikandali,scandal
scandalous,scandalous
scandals,scandals
atokun,scapegoat
awọn apanirun,scapegoats
idẹruba,scare
bẹru,scared
idẹruba,scary
alaigbagbọ,sceptical
ibawi,scold
ẹgan,scorn
ẹlẹgàn,scornful
paruwo,scream
pariwo,screamed
ikigbe,screaming
pariwo,screams
dabaru,screwed
dabaru soke,screwed up
ẹgbin,scumbag
iṣọtẹ,sedition
alatako,seditious
tan,seduced
ara-deluded,self-deluded
amotaraeninikan,selfish
ìmọtara -ẹni -nìkan,selfishness
gbolohun,sentence
ẹjọ,sentenced
awọn gbolohun ọrọ,sentences
idajọ,sentencing
àìdá,severe
gbigbọn,shaky
itiju,shame
itiju,shamed
itiju,shameful
fọ,shattered
nik,shit
shithead,shithead
itiju,shitty
mọnamọna,shock
iyalẹnu,shocked
iyalẹnu,shocking
awọn iyalẹnu,shocks
iyaworan,shoot
oniranran kukuru,short-sighted
iranran kukuru,short-sightedness
aito,shortage
idaamu,shortages
ologbon,shrew
itiju,shy
aisan,sick
ìmí ẹ̀dùn,sigh
ipalọlọ,silencing
aimọgbọnwa,silly
elese,sinful
nikan,singleminded
oníyèméjì,skeptic
alaigbagbọ,skeptical
iyemeji,skepticism
alaigbagbọ,skeptics
slam,slam
din ku,slash
fọ,slashed
awọn ọgbẹ,slashes
slashing,slashing
ẹrú,slavery
àìsùn,sleeplessness
onilọra,sluggish
ọlẹ,slut
ṣan,smear
ẹmu,smog
sneaky,sneaky
yiya,snub
gbaju,snubbed
yiya,snubbing
ìgbóná,snubs
mimo,solemn
somber,somber
Alainiye lori,son-of-a-bitch
egbo,sore
ibanuje,sorrow
ibanuje,sorrowful
binu,sorry
àwúrúju,spam
spammer,spammer
àwúrúju,spammers
spamming,spamming
awotẹlẹ,speculative
alaini ẹmi,spiritless
lilu,spiteful
squelched,squelched
gún,stab
gun,stabbed
ọbẹ,stabs
da duro,stall
duro,stalled
duro,stalling
ikọsẹ,stampede
jìnnìjìnnì,startled
ebi npa,starve
ebi npa,starved
ebi,starves
ebi npa,starving
jale,steal
ji,steals
stereotype,stereotype
stereotyped,stereotyped
lilu,stifled
olójúkòkòrò,stingy
ji,stolen
Duro,stop
duro,stopped
idekun,stopping
duro,stops
ajeji,strange
ajeji,strangely
ti pa,strangled
tenumo,stressed
aapọn,stressor
awọn aapọn,stressors
lù,stricken
idasesile,strike
awọn ikọlu,strikers
kọlu,strikes
lù,struck
ìjàkadì,struggle
ìjàkadì,struggled
ìjàkadì,struggles
ìjàkadì,struggling
abori,stubborn
di,stuck
iyalẹnu,stunned
omugo,stupid
omugo,stupidly
onírúkèrúdò,subversive
muyan,suck
buruja,sucks
jìyà,suffer
ijiya,suffering
jìyà,suffers
igbẹmi ara ẹni,suicidal
igbẹmi ara ẹni,suicide
ẹsun,suing
gbigbẹ,sulking
ibinujẹ,sulky
ibinujẹ,sullen
ifura,suspect
fura si,suspected
ifura,suspecting
awọn afurasi,suspects
da duro,suspend
ti daduro,suspended
ifura,suspicious
búra,swear
ibura,swearing
búra,swears
arekereke,swindle
arekereke,swindles
arekereke,swindling
pẹpẹ,tard
omije,tears
nira,tense
ẹdọfu,tension
ẹru,terrible
lasan,terribly
ẹru,terrified
ẹru,terror
dẹruba,terrorize
ẹru,terrorized
ẹru,terrorizes
elegun,thorny
lairi,thoughtless
irokeke,threat
halẹ,threaten
