word,translatedText
chilling,chilling
choke,shaƙa
choked,shake
chokes,shaƙewa
choking,shaƙewa
clash,karo
clouded,hadari
clueless,mara ma'ana
cock,zakara
cocksucker,zakara
cocksuckers,zakara
cocky,cocky
coerced,tilasta
collapse,durkushe
collapsed,ya fadi
collapses,ya rushe
collapsing,durkushewa
collide,yi karo
collides,yi karo
colliding,karo
collision,karo
collisions,karo
colluding,hada baki
combat,yaƙi
combats,fafatawa
complacent,m
complain,koka
complained,koka
complains,gunaguni
condemn,la'anta
condemnation,la'ana
condemned,la'ane
condemns,la'anta
conflict,rikici
conflicting,mai karo da juna
conflictive,rikici
conflicts,rikice-rikice
confuse,dame
confused,rudewa
confusing,m
conspiracy,makirci
constrained,takura
contagion,yaduwa
contagions,yaduwa
contagious,mai yaɗuwa
contempt,raini
contemptuous,raini
contemptuously,raini
contend,jayayya
contender,contender
contending,gwagwarmaya
contentious,mai rikici
contestable,m
controversial,mai rigima
controversially,mai rikitarwa
cornered,kusurwa
corpse,gawa
costly,m
cover-up,sutura
coward,matsoraci
cowardly,matsoraci
cramp,matsi
crap,abun banza
crash,fadi
crazier,mahaukaci
craziest,wawa
crazy,mahaukaci
crestfallen,karwann
cried,kuka
cries,kuka
crime,laifi
criminal,mai laifi
criminals,masu laifi
crisis,rikici
critic,mai suka
criticism,zargi
criticize,soki
criticized,soki
criticizes,ya soki
criticizing,zargi
critics,masu sukar
cruel,mugunta
cruelty,mugunta
crush,murkushe
crushed,niƙa
crushes,murkushe
crushing,murkushewa
cry,yi kuka
crying,kuka
cunt,al'aura
curse,la'ana
cut,yanke
cuts,yanke
cutting,yankan
cynic,mai zagi
cynical,mai zurfin tunani
cynicism,zagi
damage,lalacewa
damages,diyya
damn,Tsine
damned,la'ane
damnit,la'anta
danger,hadari
darkest,mafi duhu
darkness,duhu
dead,ya mutu
deadlock,makulli
deafening,kurma
death,mutuwa
debt,bashi
deceit,yaudara
deceitful,mayaudari
deceive,yaudara
deceived,yaudare
deceives,yaudara
deceiving,yaudara
deception,yaudara
defeated,ci
defect,aibi
defects,lahani
defenseless,mara kariya
defer,a jinkirta
deferring,jinkirta
defiant,mai taurin kai
deficit,kasawa
degrade,kaskantar
degraded,kaskantacce
degrades,ƙasƙanci
dehumanize,dehumanize
dehumanized,ba mutumtaka
dehumanizes,dehumanizes
dehumanizing,lalata mutane
deject,ƙi
dejected,raunannu
dejecting,yaudara
dejects,kasa
delay,jinkiri
delayed,jinkiri
demand,nema
demanded,nema
demanding,nema
demands,nema
demonstration,zanga-zanga
demoralized,karai
denied,ƙaryata
denier,mai musun
deniers,masu ƙaryatãwa
denies,ya ƙaryata
denounce,la'anta
denounces,la'anta
deny,ƙaryatãwa
denying,musu
depressed,tawayar
depressing,depressing
derail,derail
derailed,lalata
derails,derails
deride,izgili
derided,izgili
derides,izgili
deriding,izgili
derision,derision
despair,yanke kauna
despairing,yanke ƙauna
despairs,yanke tsammani
desperate,matsananciya
desperately,cike take
despondent,yanke ƙauna
destroy,halaka
destroyed,halaka
destroying,lalata
destroys,halaka
destruction,hallaka
destructive,mai hallakaswa
detached,ware
detain,tsare
detained,tsare
detention,tsarewa
devastate,lalace
devastated,lalace
devastating,mai ɓarna
dick,dick
dickhead,dickhead
die,mutu
died,ya mutu
difficult,wuya
diffident,rarrabe
dilemma,mawuyacin hali
dipshit,tsoma bakin ciki
dire,dire
direful,m
dirt,datti
dirtier,datti
dirtiest,mafi datti
dirty,datti
disabling,kashewa
disadvantage,hasara
disadvantaged,rashin talauci
disappear,bace
disappeared,bace
disappears,vuya
disappoint,yanke tsammani
disappointed,masanan basu ji dadin
disappointing,m
disappointment,jin cizon yatsa
disappointments,jin cizon yatsa
disappoints,damuwa
disaster,bala'i
disasters,masifu
disastrous,masifa
disbelieve,kafirta
discard,yar da
discarded,a jefar
discarding,yarwa
discards,yarwa
disconsolate,katsewa
disconsolation,disconsolation
discontented,rashin jin daɗi
discord,sabani
discounted,rangwame
discouraged,karaya
discredited,wulakantattu
disdain,raina
disgrace,wulakanci
disgraced,wulakanci
disguise,canza kama
disguised,sake kama
disguises,sake kamani
disguising,sake kamawa
disgust,ƙyama
disgusted,ƙyama
disgusting,abin ƙyama
disheartened,karaya
dishonest,rashin gaskiya
disillusioned,karaya
disinclined,mara kyau
disjointed,disjointed
dislike,ƙi
dismal,mara kyau
dismayed,firgita
disorder,rashin lafiya
disorganized,rashin tsari
disoriented,rikicewa
disparage,disparage
disparaged,disparage
disparages,disparages
disparaging,disparaging
displeased,bacin rai
dispute,jayayya
disputed,jayayya
disputes,rigima
disputing,jayayya
disqualified,rashin cancanta
disquiet,tashin hankali
disregard,rashin kulawa
disregarded,rashin kulawa
disregarding,rashin kulawa
disregards,rashin kulawa
disrespect,rashin girmamawa
disrespected,rashin girmamawa
disruption,rushewa
disruptions,rushewa
disruptive,mai hargitsi
dissatisfied,rashin gamsuwa
distort,gurbata
distorted,gurbata
distorting,gurbata
distorts,gurbata
distract,shagala
distracted,shagala
distraction,shagala
distracts,shagala
distress,damuwa
distressed,wahala
distresses,damuwa
distressing,damuwa
distrust,rashin amincewa
distrustful,amana
disturb,damemu
disturbed,dame
disturbing,damuwa
disturbs,damuwa
dithering,ditinging
dizzy,jiri
dodging,dodging
dodgy,dodgy
does not work,ba ya aiki
dolorous,cin gindi
dont like,kar a so
doom,halaka
doomed,wanzuwa
doubt,shakka
doubted,shakka
doubtful,m
doubting,shakku
doubts,shakku
douche,douche
douchebag,douchebag
downcast,kaskantar da kai
downhearted,karaya
downside,ƙasa
drag,jawo
dragged,jan
drags,drags
drained,drained
dread,tsreadro
dreaded,fargaba
dreadful,mai ban tsoro
dreading,tsoro
dreary,mai ban tsoro
droopy,droopy
drop,sauke
drown,nutsar
drowned,nutsar da shi
drowns,nutsar
drunk,buguwa
dubious,dubious
dud,dud
dull,maras ban sha'awa
dumb,bebe
dumbass,dumbass
dump,juji
dumped,zubar
dumps,juji
dupe,dupe
duped,duped
dysfunction,tabarbarewa
eerie,m
eery,kowane
embarrass,abin kunya
embarrassed,jin kunya
embarrasses,kunya
embarrassing,abin kunya
embarrassment,kunya
embittered,ɓacin rai
emergency,gaggawa
emptiness,fanko
empty,fanko
enemies,makiya
enemy,makiyi
ennui,ennui
enrage,fusata
enraged,fusata
enrages,fusata
enraging,bacin rai
enslave,bawa
enslaved,bayi
enslaves,bayi
envies,hassada
envious,hassada
envy,hassada
envying,hassada
erroneous,kuskure
error,kuskure
errors,kurakurai
escape,tserewa
escapes,tsere
escaping,tserewa
eviction,korewa
evil,mugunta
exaggerate,wuce gona da iri
exaggerated,ƙari
exaggerates,ƙari
exaggerating,ƙari
exclude,ware
excluded,ban da
exclusion,wariya
excuse,uziri
exempt,kebe
exhausted,gajiya
expel,kore
expelled,kora
expelling,kora
expels,kora
exploit,amfani
exploited,amfani
exploiting,amfani
exploits,amfani
expose,fallasa
exposed,fallasa
exposes,fallasa
exposing,bayyanawa
fad,fad
fag,fag
faggot,fagot
faggots,fagot
fail,kasa
failed,kasa
failing,kasawa
fails,ya kasa
failure,rashin cin nasara
failures,kasawa
fainthearted,kasala
fake,na karya
fakes,karyar
faking,faking
fallen,fadi
falling,faduwa
falsified,gurbata
falsify,gurbata
farce,farce
fascist,ɗan fasist
fascists,fascists
fatalities,mutuwa
fatality,mutuwa
fatigue,gajiya
fatigued,gajiya
fatigues,fatigues
fatiguing,gajiya
fear,tsoro
fearful,tsoro
fearing,jin tsoro
fearsome,abin tsoro
fed up,ƙoshi
feeble,marasa ƙarfi
felonies,felonies
felony,babban laifi
fiasco,fiasco
fidgety,fidgety
fight,yaƙi
fire,wuta
fired,kora
firing,harbe-harbe
flees,ya gudu
flop,flop
flops,flops
flu,mura
flustered,aka tambaya
fool,wawa
foolish,wawa
fools,wawaye
forced,tilasta
foreclosure,takunkumi
foreclosures,waɗanda ake yi wa aiki
forget,manta
forgetful,mai mantuwa
forgotten,manta
frantic,mai saurin tashin hankali
fraud,zamba
frauds,zamba
fraudster,mai zamba
fraudsters,'yan damfara
fraudulence,zamba
fraudulent,zamba
frenzy,hauka
fright,tsorace
frightened,firgita
frightening,tsoratarwa
frikin,frikin
frowning,yamutsa fuska
frustrate,takaici
frustrated,takaici
frustrates,takaici
frustrating,takaici
frustration,takaici
fuck,fuck
fucked,fucked
fucker,mai lalata
fuckers,'yan damfara
fuckface,karafarini
fuckhead,fuckhead
fucking,cin gindi
fucktard,karasowa
fud,fud
fuked,shanawa
fuking,fuking
fuming,fuming
funeral,jana'iza
funerals,jana'izar
furious,fusata
gag,gag
gagged,zugi
ghost,fatalwa
giddy,giddy
gloom,duhu
gloomy,ciki
glum,glum
goddamn,allahn
grave,kabari
gray,launin toka-toka
greed,kwadayi
greedy,mai hadama
green wash,koren wanka
green washing,wankan kore
greenwash,wankin kore
greenwasher,injin wanki
greenwashers,injin wanki
greenwashing,wankan kore
grey,launin toka-toka
grief,baƙin ciki
grieved,yi baƙin ciki
gross,babban
guilt,laifi
guilty,laifi
gullibility,rashin fahimta
gullible,m
gun,bindiga
hacked,an yi hacked
hapless,mara dadi
haplessness,rashin aiki
hard,wuya
hardship,wahala
harm,cutarwa
harmed,cutar da shi
harmful,cutarwa
harming,cutarwa
harms,cutarwa
harried,haryana
harsh,mai tsanani
harsher,mafi tsanani
harshest,mafi tsananin
hate,ƙi
hated,ƙi
haters,masu ƙiyayya
hates,ya ƙi
hating,ƙiyayya
haunt,fatalwa
haunted,fatalwa
haunts,haunts
havoc,lalacewa
heartbreaking,ajiyar zuciya
heartbroken,zuciya ta karye
heavyhearted,mai karfin zuciya
hell,jahannama
helpless,mara taimako
hesitant,mai shakka
hesitate,yi shakka
hid,ɓoye
hide,ɓoye
hides,boyewa
hiding,ɓoyewa
hindrance,cikas
hoax,yaudara
homesick,rashin gida
hooligan,hooligan
hooliganism,hooliganism
hooligans,yan iska
hopeless,m
hopelessness,rashin bege
horrendous,mai ban tsoro
horrible,m
horrific,m
horrified,firgita
hostile,maƙiyi
huckster,huckster
humiliated,wulakantacce
humiliation,wulakanci
hunger,yunwa
hurt,ji ciwo
hurting,ciwo
hurts,zafi
hypocritical,munafunci
hysteria,ciwon iska
hysterical,hysterical
hysterics,hysterics
idiot,wawa
idiotic,wawa
ignorance,rashin sani
ignorant,jahili
ignore,watsi
ignored,watsi
ignores,watsi
ill,rashin lafiya
illegal,ba bisa doka ba
illiteracy,rashin karatu
illness,rashin lafiya
illnesses,cututtuka
imbecile,rashin kyau
immobilized,mara motsi
impatient,rashin haƙuri
imperfect,ajizai
impose,ɗorawa
imposed,tilasta
imposes,dorawa
imposing,dorawa
impotent,rashin ƙarfi
imprisoned,daure
inability,rashin iyawa
inaction,rashin aiki
inadequate,bai isa ba
incapable,m
incapacitated,rashin aiki
incensed,tsokana
incompetence,rashin iya aiki
incompetent,rashin iyawa
inconsiderate,ba da la'akari ba
inconvenience,damuwa
inconvenient,m
indecisive,mara yanke shawara
indifference,rashin tunani
indifferent,ba ruwansu
indignant,fusata
indignation,fushin
indoctrinate,indoctrinate
indoctrinated,indoctrinated
indoctrinates,indoctrinates
indoctrinating,indoctrinating
ineffective,m
ineffectively,mara tasiri
infected,sun kamu
inferior,na baya
inflamed,kumbura
infringement,ƙeta
infuriate,fusata
infuriated,fusata
infuriates,tsokana
infuriating,tsokana
inhibit,hana
injured,rauni
injury,rauni
injustice,rashin adalci
inquisition,bincike
insane,mahaukaci
insanity,rashin hankali
insecure,rashin tsaro
insensitive,rashin hankali
insensitivity,rashin hankali
insignificant,maras muhimmanci
insipid,insipid
insult,zagi
insulted,zagi
insulting,zagi
insults,zagi
interrogated,tambaya
interrupt,katsewa
interrupted,katse shi
interrupting,katsewa
interruption,katsewa
interrupts,katsewa
intimidate,tsoratar
intimidated,tsorace
intimidates,tsoratarwa
intimidating,tsoratarwa
intimidation,tsoratarwa
irate,yi fushi
ironic,ban dariya
irony,irony
irrational,m
irresolute,mara tsauri
irreversible,ba zai yiwu ba
irritate,baci
irritated,fusata
irritating,mai ban haushi
isolated,ware
itchy,ƙaiƙayi
jackass,jackass
jackasses,jackasses
jailed,daure
jealous,kishi
jeopardy,hadari
jerk,jerk
joyless,m
jumpy,tsalle
kill,kashe
killed,kashe
killing,kisa
kills,ya kashe
lack,rashin
lackadaisical,rashin kulawa
lag,raguwa
lagged,koma baya
lagging,raguwa
lags,lags
lame,gurgu
lawsuit,kara
lawsuits,kara
lazy,malalaci
leak,zuba
leaked,leaked
leave,tafi
lethargic,mai rauni
lethargy,kasala
liar,maƙaryaci
liars,makaryata
libelous,mai kyauta
lied,yi ƙarya
limitation,iyakancewa
limited,iyakance
limits,iyaka
litigation,shari'a
litigious,takaddama
livid,livid
loathe,ƙyama
loathed,ƙyama
loathes,ƙyama
loathing,ƙyama
lobby,zaure
lobbying,yin kira
lonely,kadaici
lonesome,kadaici
longing,dogon buri
loom,loom
loomed,loomed
looming,kusada
looms,looms
loose,sako-sako da
looses,sassauta
loser,mai hasara
losing,rasa
loss,asara
lost,rasa
lowest,mafi ƙasƙanci
lugubrious,sarkakiya
lunatic,mahaukaci
lunatics,mahaukata
lurk,lurk
lurking,luruwa
lurks,lurks
mad,mahaukaci
maddening,hauka
made-up,sanya-up
madly,mahaukaci
madness,hauka
mandatory,na tilas
manipulated,sarrafawa
manipulating,magudi
manipulation,magudi
meaningless,mara ma'ana
mediocrity,matsakaici
melancholy,nishadi
menace,barazanar
menaced,kashewa
mess,rikici
messed,rikice
messing up,rikici
mindless,mara hankali
misbehave,misbehave
misbehaved,rashin tunani
misbehaves,misbehaves
misbehaving,misbehaving
mischief,barna
mischiefs,barna
miserable,zullumi
misery,wahala
misgiving,rashin kuskure
misinformation,rashin fahimta
misinformed,ba da labari
misinterpreted,ba da fassara
misleading,mai yaudara
misread,rashin karantawa
misreporting,ba da rahoto
misrepresentation,bata suna
miss,rasa
missed,aka rasa
missing,bata
mistake,kuskure
mistaken,kuskure
mistakes,kuskure
mistaking,kuskure
misunderstand,rashin fahimta
misunderstanding,rashin fahimta
misunderstands,rashin fahimta
misunderstood,rashin fahimta
moan,nishi
moaned,nishi
moaning,nishi
moans,nishi
mock,ba'a
mocked,ba'a
mocking,ba'a
mocks,ba'a
mongering,monger
monopolize,mallakinta
monopolized,monopolized
monopolizes,monopolizes
monopolizing,monopolizing
moody,mai laushi
mope,mope
moping,moping
moron,moron
motherfucker,uwa-uba
motherfucking,bacin rai
mourn,yi baƙin ciki
mourned,yi baƙin ciki
mournful,mai baƙin ciki
mourning,makoki
mourns,makoki
mumpish,mumpish
murder,kisan kai
murderer,mai kisan kai
murdering,kisan kai
murderous,mai kisan kai
murders,kisan kai
myth,tatsuniya
n00b,n00b
naive,butulci
nasty,m
naïve,nave
needy,mabukata
negative,korau
negativity,negativity
neglect,sakaci
neglected,sakaci
neglecting,sakaci
neglects,sakaci
nerves,jijiyoyi
nervous,m
nervously,a firgice
niggas,niggas
nigger,nigger
no,a'a
no fun,babu wasa
noisy,hayaniya
nonsense,maganar banza
noob,noob
nosey,m
not good,ba kyau
not working,baya aiki
notorious,sananne
numb,suma
nuts,kwayoyi
obliterate,shafewa
obliterated,shafewa
obnoxious,abin ƙyama
obscene,alfasha
obsolete,tsufa
obstacle,cikas
obstacles,cikas
obstinate,taurin kai
odd,mara kyau
offend,yi laifi
offended,yi fushi
offender,mai laifi
offending,laifi
offends,laifi
offline,wajen layi
oppressed,zalunci
oppressive,zalunci
optionless,babu zaɓi
outcry,kuka
outmaneuvered,karin girma
outrage,bacin rai
outraged,fusata
overload,yi obalodi
overlooked,saba shukawa
overreact,wuce gona da iri
overreacted,wuce gona da iri
overreaction,wuce gona da iri
overreacts,wuce gona da iri
oversell,kula
overselling,overselling
oversells,kula
oversimplification,kara girma
oversimplified,karin haske
oversimplifies,ƙara girma
oversimplify,ƙara sauƙaƙa
overstatement,karin bayani
overstatements,karin bayani
overweight,kiba
oxymoron,oxymoron
pain,zafi
pained,zafi
panic,tsoro
panicked,firgita
panics,tsoro
paradox,sabanin haka
parley,parley
passive,m
passively,wucewa
pathetic,mai ban tausayi
pay,biya
penalty,hukunci
pensive,farashi
peril,haɗari
perjury,shaidar zur
perpetrator,mai aikatawa
perpetrators,masu yi
perplexed,rikicewa
persecute,tsananta
persecuted,tsananta
persecutes,tsananta
persecuting,tsanantawa
perturbed,cikin damuwa
pesky,pesky
pessimism,rashin tsammani
pessimistic,rashin bege
petrified,firgita
phobic,phobic
pileup,tari
pique,pique
piqued,huda
piss,fitsari
pissed,ji haushi
pissing,ji haushi
piteous,piteous
pitied,tausayi
pity,tausayi
poised,a shirye
poison,guba
poisoned,guba
poisons,guba
pollute,ƙazantar da
polluted,ƙazantu
polluter,ƙazanta
polluters,gurɓatattun abubuwa
pollutes,ƙazantar
poor,talakawa
poorer,talauci
poorest,mafi talauci
possessive,mallaka
postpone,jinkirta
postponed,jinkirta
postpones,jinkirta
postponing,jinkirtawa
poverty,talauci
powerless,mara ƙarfi
prblm,prblm
prblms,prblms
pressure,matsa lamba
pressured,matsin lamba
pretend,riya
pretending,yin riya
pretends,yi kamar dai
prevent,hana
prevented,hana
preventing,hanawa
prevents,yana hana
prick,abin wasa
prison,kurkuku
prisoner,fursuna
prisoners,fursunoni
problem,matsala
problems,matsaloli
profiteer,riba
propaganda,farfaganda
prosecute,la'anta
prosecuted,gurfanar da shi
prosecutes,gabatar da kara
prosecution,la'anta
protest,rashin amincewa
protesters,masu zanga-zangar
protesting,nuna rashin amincewa
protests,zanga-zangar
provoke,tsokana
provoked,tsokanata
provokes,tsokana
provoking,tsokana
pseudoscience,pseudoscience
punish,hukunta
punished,hukunta
punishes,hukunta
punitive,mai azabtarwa
pushy,turawa
puzzled,dame
quaking,girgiza
questionable,abin tambaya
questioned,tambaya
questioning,tambaya
racism,wariyar launin fata
racist,mai nuna wariyar launin fata
racists,'yan wariyar launin fata
rage,fushi
rageful,fushi
rainy,damina
rant,yi wasa
ranter,mai gudu
ranters,masu nunawa
rants,rantsuwa
rape,fyaɗe
rapist,mai yin fyade
rash,kurji
rebellion,tawaye
recession,koma bayan tattalin arziki
reckless,m
refuse,ƙi
refused,ƙi
refusing,ƙi
regret,nadama
regretful,nadama
regrets,nadama
regretted,nadama
regretting,nadama
reject,ƙi
rejected,ƙi
rejecting,kãfirta
rejects,ya ƙi
relentless,m
remorse,nadama
repulse,tunkuɗe
repulsed,tunkuɗe
resentful,jin haushi
resign,yi murabus
resigned,yayi murabus
resigning,yin murabus
resigns,yayi murabus
restless,m
restrict,takura
restricted,ƙuntata
restricting,ƙuntatawa
restriction,ƙuntatawa
restricts,takurawa
retained,rike
retard,ja baya
retarded,koma baya
retreat,ja da baya
revenge,fansa
revengeful,ramawa
ridiculous,ba'a
rig,rig
rigged,rigged
riot,tarzoma
riots,tarzoma
risk,haɗari
risks,kasada
rob,fashi
robber,ɗan fashi
robed,tufafi
robing,fashi
robs,fashi
ruin,lalacewa
ruined,lalace
ruining,lalata
ruins,kango
sabotage,sabotage
sad,bakin ciki
sadden,yi baƙin ciki
saddened,baƙin ciki
sadly,abin takaici
sappy,sappy
sarcastic,ba'a
scam,zamba
scams,zamba
scandal,abin kunya
scandalous,abin kunya
scandals,abin kunya
scapegoat,sankara
scapegoats,sankarau
scare,tsorata
scared,tsorace
scary,ban tsoro
sceptical,m
scold,tsawata
scorn,raini
scornful,raini
scream,kururuwa
screamed,kururuwa
screaming,ihu
screams,kururuwa
screwed,ci da gumi
screwed up,ƙuƙwara
scumbag,scumbag
sedition,fitina
seditious,tayar da hankali
seduced,yaudare
self-deluded,yaudarar kai
selfish,son kai
selfishness,son kai
sentence,hukunci
sentenced,yanke masa hukunci
sentences,jimloli
sentencing,yanke hukunci
severe,mai tsanani
shaky,girgiza
shame,kunya
shamed,kunyata
shameful,abin kunya
shattered,farfashe
shit,shit
shithead,shithead
shitty,shitty
shock,gigice
shocked,gigice
shocking,m
shocks,gigicewa
shoot,harba
short-sighted,gajere
short-sightedness,hangen nesa
shortage,karanci
shortages,karanci
shrew,shrew
shy,mai jin kunya
sick,rashin lafiya
sigh,huci
silencing,yin shiru
silly,wauta
sinful,mai zunubi
singleminded,mara hankali
skeptic,mai shakka
skeptical,m
skepticism,shubuhohi
skeptics,masu shakka
slam,slam
slash,slash
slashed,yanka
slashes,yanka
slashing,slashing
slavery,bauta
sleeplessness,rashin bacci
sluggish,kasala
slut,slut
smear,shafawa
smog,hayaki
sneaky,sany
snub,yi kururuwa
snubbed,snubbed
snubbing,yin kurba
snubs,kurba
solemn,ƙa'ida
somber,somber
son-of-a-bitch,dan-wata-karuwa
sore,ciwo
sorrow,baƙin ciki
sorrowful,mai baƙin ciki
sorry,yi hakuri
spam,wasikun banza
spammer,mai aika sakon gizo
spammers,masu tsegumi
spamming,spamming
speculative,hasashe
spiritless,rashin ruhu
spiteful,m
squelched,squelched
stab,soka
stabbed,soka
stabs,soka
stall,rumfa
stalled,tsaya
stalling,stalling
stampede,bugawa
startled,firgita
starve,yunwa
starved,yunwa
starves,yunwa
starving,yunwa
steal,sata
steals,sata
stereotype,stereotype
stereotyped,sananna
stifled,gurɓata
stingy,rowa
stolen,sata
stop,tsaya
stopped,tsaya
stopping,tsayawa
stops,yana tsayawa
strange,bakon
strangely,bakon
strangled,makura
stressed,jaddada
stressor,danniya
stressors,damuwa
stricken,rauni
strike,yajin
strikers,'yan wasan
strikes,buga
struck,buga
struggle,gwagwarmaya
struggled,fama
struggles,gwagwarmaya
struggling,fama
stubborn,mai taurin kai
stuck,makale
stunned,mamaki
stupid,wawa
stupidly,wawanci
subversive,ƙasƙantattu
suck,tsotse
sucks,tsotsa
suffer,wahala
suffering,wahala
suffers,wahala
suicidal,kashe kansa
suicide,kashe kansa
suing,kawo kara
sulking,sulking
sulky,sulky
sullen,sullen
suspect,wanda ake zargi
suspected,ake zargi
suspecting,zargin
suspects,wadanda ake zargi
suspend,dakatar
suspended,dakatar
suspicious,m
swear,rantsuwa
swearing,rantsuwa
swears,rantsuwa
swindle,zamba
swindles,zamba
swindling,zamba
tard,tard
tears,hawaye
tense,wahala
tension,tashin hankali
terrible,mummunan
terribly,da jin tsoro
terrified,a firgice
terror,ta'addanci
terrorize,firgita
terrorized,firgita
terrorizes,ta'addanci
thorny,ƙaya
thoughtless,marasa tunani
threat,barazana
threaten,yi barazanar
threatened,yi barazanar
threatening,barazanar
threatens,yayi barazanar
threats,barazanar
thwart,hana
thwarted,hana
thwarting,hanawa
thwarts,thwarts
timid,m
timorous,timorous
tired,gajiya
tits,tsuntsaye
toothless,hakori
torn,tsage
torture,azabtarwa
tortured,azaba
tortures,azabtarwa
torturing,azabtarwa
totalitarian,mulkin kama-karya
totalitarianism,mulkin mallaka
tout,utara
touted,touted
touting,nunawa
touts,touts
tragedy,masifa
tragic,mai ban tausayi
trap,tarko
trapped,makale
trauma,rauni
traumatic,mai rauni
travesty,cin amana
treason,cin amana
treasonous,cin amana
trembling,rawar jiki
tremulous,tremulous
tricked,yaudara
trickery,yaudara
trouble,matsala
troubled,damu
troubles,matsaloli
tumor,ƙari
twat,tagwaye
ugly,mara kyau
unacceptable,ba za a karɓa ba
unappreciated,rashin godiya
unapproved,ba a yarda da shi ba
unaware,ba sani ba
unbelievable,kafiri
unbelieving,marasa imani
uncertain,bai tabbata ba
unclear,m
uncomfortable,m
unconcerned,bai damu ba
unconfirmed,ba a tabbatar ba
unconvinced,ba a yarda da shi ba
