translatedText,text
nkwenye,endorsement
na -akwado,endorses
ike,energetic
tinye aka,engage
na -eme,engages
mikpuru,engrossed
enwe,enjoy
na -ekpori ndụ,enjoying
na -enwe,enjoys
kọwaa,enlighten
kọwaa,enlightened
na -enye ihe ọmụma,enlightening
na -enye nghọta,enlightens
nchikota,enrapture
hụ na,ensure
n'ịhụ,ensuring
na -arụ ọrụ,enterprising
na -atọ ụtọ,entertaining
obi ụtọ,enthral
na -anụ ọkụ n'obi,enthusiastic
isiokwu,entitled
nyere,entrusted
na -asọpụrụ,esteemed
ụkpụrụ,ethical
aupụrị,euphoria
obi ụtọ,euphoric
were iwe,exasperated
kacha mma,excellence
magburu onwe ya,excellent
kpalie,excite
obi ụtọ,excited
mkpali,excitement
na -akpali akpali,exciting
nanị,exclusive
ahiụrị,exhilarated
na -ahiụrị ọ .ụ,exhilarates
na -atọ ụtọ,exhilarating
tọpụ,exonerate
akapuo onwe ya,exonerated
agbaghara,exonerates
na -agbaghara,exonerating
gbasaa,expand
na -agbasa,expands
ngagharị,exploration
nyocha,explorations
gbatịa,extend
gbatịrị,extends
obi ụtọ,exuberant
aụrị,exultant
n'amụma,exultantly
ọmarịcha,fabulous
ngosi,fair
okwukwe,faith
kwesiri ntukwasi obi,faithful
ama,fame
onye ofufe,fan
kediegwu,fantastic
adọrọ mmasị,fascinate
adọrọ mmasị,fascinated
na -adọrọ mmasị,fascinates
na -adọrọ mmasị,fascinating
ihu oma,favor
kwadoro,favored
ọkacha mmasị,favorite
ọkacha mmasị,favorited
ọkacha mmasị,favorites
amara,favors
n'atụghị egwu,fearless
mmetụta,feeling
gbasie ike,fervent
fervid,fervid
ememme,festive
mma,fine
dabara,fit
mgbatị ahụ,fitness
ọkọlọtọ,flagship
lekwasịrị anya,focused
mmasi,fond
mmasi,fondness
gbaghara,forgive
na -agbaghara,forgiving
ihe ndabara,fortunate
n'efu,free
nnwere onwe,freedom
ọhụrụ,fresh
enyi na enyi,friendly
frisky,frisky
ftw,ftw
mezuo,fulfill
mezuru,fulfilled
na -emezu,fulfills
ọchị,fun
ọchị,funky
ọchị,funnier
ọchị,funny
ihe efu,futile
uru,gain
nwetara,gained
inweta,gaining
uru,gains
dị egwu,gallant
gallantly,gallantly
egwu egwu,gallantry
mmesapụ aka,generous
okike,genial
onyinye,gift
obi ụtọ,glad
mara mma,glamorous
mara mma,glamourous
obi ụtọ,glee
na -enwe ọleeụ,gleeful
ebube,glorious
ebube,glory
chukwu,god
chukwu,godsend
mma,good
ịdị mma,goodness
amara,grace
amara,gracious
ukwu,grand
nye,grant
nyere,granted
inye,granting
onyinye,grants
na -ekele,grateful
afọ ojuju,gratification
ukwu,great
ka ukwuu,greater
nke kachasi,greatest
ekele,greet
kelere,greeted
ekele,greeting
ekele,greetings
ekele,greets
na -eto eto,growing
uto,growth
nkwa,guarantee
haa,ha
haha,haha
hahaha,hahaha
hahahah,hahahah
akụ mmiri igwe,hail
eto,hailed
obi uto,happiness
obi uto,happy
siri ike,hardier
siri ike,hardy
na -achọ,haunting
ahụike,healthy
sitere n'obi,heartfelt
eluigwe,heaven
nke eluigwe,heavenly
Enyemaka,help
aka,helpful
na -enyere aka,helping
enyere aka,helps
dike,hero
ndị dike,heroes
dike,heroic
pụta ìhè,highlight
dị egwu,hilarious
eziokwu,honest
nsọpụrụ,honor
na -asọpụrụ,honored
na -asọpụrụ,honoring
nsọpụrụ,honour
na -asọpụrụ,honoured
na -asọpụrụ,honouring
olile anya,hope
olile anya,hopeful
olile anya,hopefully
olile anya,hopes
na -enwe olileanya,hoping
mmakụ,hug
nnukwu,huge
mmakụ,hugs
ọchị,humerous
ọchị,humor
ọchị,humorous
ọchị,humour
ọchị,humourous
mee ọsọ ọsọ,hurrah
anwụ anwụ,immortal
enweghi nsogbu,immune
mkpa,importance
dị mkpa,important
mmasi,impress
masịrị ya,impressed
masịrị,impresses
kemmasi,impressive
melite,improve
mma,improved
mma,improvement
mma,improves
na -emeziwanye,improving
mụbaa,increase
abawanye,increased
nke apughi imebi,indestructible
nzuzu,infatuated
nzuzu,infatuation
na -emetụta,influential
imeputa ihe,innovate
na -emeputa ihe ọhụrụ,innovates
ihe ọhụrụ,innovation
otutu,innovative
ajuju,inquisitive
n'ike mmụọ nsọ,inspiration
n'ike mmụọ nsọ,inspirational
kpalie,inspire
n'ike mmụọ nsọ,inspired
na -akpali,inspires
na -akpali akpali,inspiring
emebibeghị,intact
iguzosi ike n'ezi ihe,integrity
onye nwere ọgụgụ isi,intelligent
siri ike,intense
mmasị,interest
nwere mmasị,interested
na -akpali mmasị,interesting
ọdịmma,interests
dị mgbagwoju anya,intricate
aghụghọ,intrigues
enweghi ike imeri,invincible
kpọọ,invite
na -akpọ oku,inviting
enweghi ike imeri,invulnerable
enweghị ike iguzogide,irresistible
enweghi ezi uche,irresponsible
amara,jaunty
jesus,jesus
ọla,jewel
ọla,jewels
jocular,jocular
sonye,join
egwuregwu,joke
njakịrị,jokes
dị ụtọ,jolly
na -atọ ọchị,jovial
ọ joyụ,joy
na -afulụrị ọ .ụ,joyful
ọfullyụ,joyfully
ọyoụ,joyous
obi ụtọ,jubilant
ikpe ziri ezi,justice
n'ụzọ ziri ezi,justifiably
ziri ezi,justified
mmasị,keen
obi oma,kind
obiọma,kinder
susuo ọnụ,kiss
ekele,kudos
akara ala,landmark
ochi,laugh
chịrị ọchị,laughed
na -achị ọchị,laughing
ochi,laughs
na -achị ọchị,laughting
ulo oru,launched
lawl,lawl
iwu,legal
n'iwu,legally
dị nro,lenient
onye nzọpụta ndụ,lifesaver
obi dị nro,lighthearted
dị ka,like
masịrị m,liked
na -amasị,likes
di ndu,lively
lee,lmao
lmfao,lmfao
lol,lol
na -ahụ n'anya,lovable
ịhụnanya,love
hụrụ n'anya,loved
na -amasị,lovelies
mara mma,lovely
ịhụnanya,loving
na -eguzosi ike n'ihe,loyal
iguzosi ike n'ihe,loyalty
chioma,luck
nke oma,luckily
kechioma,lucky
itunanya,marvel
magburu onwe ya,marvelous
ihe ịtụnanya,marvels
ọkaibe,masterpiece
ọkaibe,masterpieces
okwu,matter
okwu,matters
tozuru oke,mature
bara uru,meaningful
ihe nrite,medal
ntụgharị uche,meditative
ebere,mercy
inwe obi uto,merry
usoro,methodical
ọrụ ebube,miracle
obi ụtọ,mirth
obi ụtọ,mirthful
na -atọ ụtọ,mirthfully
kpalie,motivate
kpaliri,motivated
na -akpali akpali,motivating
mkpali,motivation
eke,natural
ọ dị mma,nice
dị mma,nifty
dị mma,noble
akwụkwọ akụkọ,novel
enwe uche,obsessed
oks,oks
jọgburu onwe ya,ominous
otu ugboro na ndụ,once-in-a-lifetime
ohere,opportunities
ohere,opportunity
nchekwube,optimism
nchekwube,optimistic
mgbasa ozi,outreach
pụtara ìhè,outstanding
oke ọyedụ,overjoyed
paradaịs,paradise
gbaghara,pardon
agbaghara,pardoned
na -agbaghara,pardoning
gbaghara,pardons
omiiko,passionate
udo,peace
n'udo,peaceful
n'udo,peacefully
zuru oke,perfect
zuo oke,perfected
zuru oke,perfectly
izu oke,perfects
mara mma,picturesque
igwuri egwu,playful
obi uto,pleasant
Biko,please
nwee obi ụtọ,pleased
obi uto,pleasure
ewu ewu,popular
nke oma,positive
nke oma,positively
dị ike,powerful
ito,praise
toro,praised
otuto,praises
na -eto,praising
kpee ekpere,pray
na -ekpe ekpere,praying
na -ekpe ekpere,prays
kwadebere,prepared
mara mma,pretty
ihe ùgwù,privileged
proactive,proactive
oganihu,progress
pụtara ìhè,prominent
nkwa,promise
kwere nkwa,promised
nkwa,promises
kwalite,promote
akwalite,promoted
na -akwalite,promotes
na -akwalite,promoting
atụmanya,prospect
atụmanya,prospects
ọgaranya,prosperous
chebe,protect
echekwara,protected
echebe,protects
mpako,proud
nganga,proudly
owuwe,rapture
dọwara,raptured
raptures,raptures
rapturous,rapturous
asambodo,ratified
iru,reach
ruru,reached
na -eru,reaches
na -eru,reaching
mesie ike,reassure
mesiri ya obi ike,reassured
na -emesi obi ike,reassures
na -emesi obi ike,reassuring
kwadoro,recommend
akwadoro,recommended
na -atụ aro,recommends
gbapụtara,redeemed
rejoiceụrịa ọ .ụ,rejoice
rejoụrịrị ọ .ụ,rejoiced
na -aicesụrị ọ .ụ,rejoices
na -aicingụrị ọ .ụ,rejoicing
nọrọ jụụ,relaxed
dabere,reliant
dochie,relieve
enwere onwe ya,relieved
na -ebelata,relieves
na -ebelata,relieving
na -atọ ụtọ,relishing
dị ịrịba ama,remarkable
nnapụta,rescue
anapụta,rescued
anapụta,rescues
kpebisie ike,resolute
kpebie,resolve
kpebiri,resolved
na -edozi,resolves
na -edozi,resolving
nkwanye ugwu,respected
ihe kpatara ya,responsible
na -anabata,responsive
zuru ike,restful
weghachi,restore
weghachiri eweghachi,restored
na -eweghachi,restores
iweghachi,restoring
na -asọpụrụ,revered
ịtụte,revive
na -agbake,revives
ugwo,reward
ugwo,rewarded
na -akwụghachi ụgwọ,rewarding
ụgwọ ọrụ,rewards
ọgaranya,rich
ezi uzo,right direction
siri ike,rigorous
ịgbasi ike,rigorously
siri ike,robust
rofl,rofl
roflcopter,roflcopter
roflmao,roflmao
ihunanya,romance
rotfl,rotfl
rotflmfao,rotflmfao
rotflol,rotflol
nchekwa,safe
n'enweghị nsogbu,safely
nchekwa,safety
dị egwu,salient
rijuru afọ,satisfied
chekwaa,save
echekwara,saved
ofofo,scoop
nọrọ ná nchebe,secure
echekwara,secured
na -echekwa,secures
njide onwe onye,self-confident
dị jụụ,serene
sexy,sexy
ịkekọrịta,share
akọrọ,shared
mbak,shares
uru,significance
dị ịrịba ama,significant
ezi obi,sincere
n'eziokwu,sincerely
ezi obi,sincerest
ezi obi,sincerity
nzuzu,slick
onye na -egbu anụ,slicker
dị gịrịgịrị,slickest
mara ihe,smart
mara ihe,smarter
nke kacha mara ihe,smartest
ọchị,smile
chiri ọchị,smiled
ọchị,smiles
ọchị ọchị,smiling
na -eche echiche,sobering
siri ike,solid
ịdị n'otu,solidarity
ngwọta,solution
ngwọta,solutions
dozie,solve
edozi,solved
na -edozi,solves
idozi,solving
dajụọ,soothe
wetuo obi,soothed
dị jụụ,soothing
ọkaibe,sophisticated
icheku ọkụ,spark
mgbuke,sparkle
na -egbu maramara,sparkles
na -egbu maramara,sparkling
mmụọ,spirit
mmụọ,spirited
dị mma,splendid
zuru oke,sprightly
kwụsiri ike,stable
ume,stamina
na -eguzosi ike,steadfast
kpalie,stimulate
kpaliri,stimulated
na -akpali,stimulates
na -akpali akpali,stimulating
ike,stout
Kwụ ọtọ,straight
ike,strength
di ike,strengthen
ewusiri ike,strengthened
na -ewusi ike,strengthening
na -ewusi,strengthens
ike,strong
ike,stronger
nke kachasi ike,strongest
pụtara,stunning
suave,suave
ọkpụrụkpụ,substantial
n'ụzọ,substantially
ihe ịga nke ọma,success
ihe ịga nke ọma,successful
anwụ na -acha,sunshine
ibu,super
ikenyeneke mbiet,superb
dị elu,superior
nkwado,support
akwado,supported
onye nkwado,supporter
ndị na -akwado ya,supporters
na -akwado,supporting
na -akwado,supportive
na -akwado,supports
lanarịrị,survived
na -adị ndụ,surviving
onye lanarịrịnụ,survivor
dị ụtọ,sweet
ngwa ngwa,swift
ngwa ngwa,swiftly
ọmịiko,sympathetic
ọmịiko,sympathy
dị nro,tender
dị egwu,terrific
daalụ,thank
na -ekele,thankful
daalụ,thanks
echebara echiche,thoughtful
mkpali,thrilled
na -anagide ihe,tolerant
n'elu,top
n'elu,tops
dị jụụ,tranquil
akụ,treasure
akụ,treasures
mmeri,triumph
mmeri,triumphant
eziokwu,true
ntụkwasị obi,trust
tụkwasịrị obi,trusted
eleghi anya,unbiased
enweghị atụ,unequaled
ịdị n'otu,unified
dịrị n'otu,united
enweghị atụ,unmatched
nke a na -agaghị akwụsị akwụsị,unstoppable
emezughị,untarnished
bara uru,useful
uru,usefulness
mezie,validate
nkwado,validated
na -akwado,validates
nkwado,validating
nyere,vested
dị egwu,vibrant
mụrụ anya,vigilant
gosiputa,vindicate
n'onye ezi omume,vindicated
na -akwado,vindicates
na -egosipụta,vindicating
omume ọma,virtuous
ọhụụ,vision
onye ọhụụ,visionary
ọhụụ,visioning
ọhụụ,visions
ike,vitality
vitamin,vitamin
dị egwu,vivacious
choro,want
na -ekpo ọkụ,warm
ima,warmth
akụnụba,wealth
ọgaranya,wealthy
nabata,welcome
nabatara,welcomed
nabatara,welcomes
ihe nzuzu,whimsical
njikere,willingness
merie,win
onye mmeri,winner
na -emeri,winning
na -emeri,wins
winwin,winwin
choro,wish
ọchịchọ,wishes
na -achọ,wishing
meriri,won
magburu onwe ya,wonderful
wuo,woo
woohoo,woohoo
wuo,wooo
woo,woow
ife ofufe,worshiped
uru,worth
kwesiri,worthy
Chaị,wow
Chaị,wowow
wowww,wowww
ee,yeah
agụụ,yearning
eee,yeees
ee,yes
na -eto eto,youthful
kemmiri,yummy
na -anụ ọkụ n'obi,zealous
jupụta,abound
juputara,abounds
ụba,abundance
nke ukwuu,abundant
inweta,accessable
inweta,accessible
na -eto,acclaim
toro,acclaimed
mkpu,acclamation
nkwanye ugwu,accolade
nkwanye ugwu,accolades
nnabata,accommodative
ebe obibi,accomodative
mmezu,accomplishment
rụzuru,accomplishments
ziri ezi,accurate
kpomkwem,accurately
mmezu,achievement
rụzuru,achievements
enwere ike iru,achievible
acumen,acumen
imeghari,adaptable
na -eme mgbanwe,adaptive
kemeghi,adjustable
dị mma,admirable
mmasị,admirably
mmasi,admiration
onye mmasi,admirer
na -adọrọ mmasị,admiringly
onye na -asọpụrụ,adorer
na -asọpụrụ,adoring
na -asọpụrụ,adoringly
adroit,adroit
adroitly,adroitly
ịkpọlite,adulate
nkwalite,adulation
adulatory,adulatory
bara uru,advantageous
uru,advantageously
ihe egwu,adventuresome
na -akwado,advocate
na -akwado,advocated
ndị na -akwado ya,advocates
nnwere onwe,affability
dị mma,affable
dị mma,affably
mmetụta,affectation
mmekọrita,affinity
kwenye,affirm
nkwenye,affirmation
eziokwu,affirmative
ịba ọgaranya,affluence
onye bara ọgaranya,affluent
imeli,afford
ọnụ,affordable
na ego,affordably
enwere ike,afordable
agile,agile
agilely,agilely
agility,agility
nkwekọrịta,agreeableness
kwetara,agreeably
gburugburu,all-around
na -adọrọ adọrọ,alluring
na -adọrọ mmasị,alluringly
altruistic,altruistic
altruistically,altruistically
ihe ijuanya,amazement
di itunanya,amazingly
na oké ọchịchọ,ambitiously
dị mma,ameliorate
dị mma,amenable
obi ụtọ,amenity
obi iru ala,amiability
amiabily,amiabily
obi ụtọ,amiable
udo,amicability
na -eme udo,amicable
n'udo,amicably
obi oma,amity
otutu,ample
otutu,amply
na -atọ ọchị,amusing
na -atọ ọchị,amusingly
mmụọ ozi,angel
ndị mmụọ ozi,angelic
apotheosis,apotheosis
ịrịọ arịrịọ,appeal
na -adọrọ adọrọ,appealing
nke nwere ekele,appreciable
ekele,appreciative
ekele,appreciatively
kwesịrị ekwesị,appropriate
kwado,approve
siri ike,ardently
ike,ardor
ikwuputa,articulate
ọchịchọ,aspiration
ọchịchọ,aspirations
chọsie ike,aspire
mmesi obi ike,assurance
mmesi obi ike,assurances
obi sie,assure
n'ezie,assuredly
na -emesi obi ike,assuring
itunanya,astonish
ihe ijuanya,astonishing
ihe ịtụnanya,astonishingly
ihe ijuanya,astonishment
n'ezie,astutely
na -ege ntị,attentive
mara mma,attractive
na -adọrọ mmasị,attractively
ịdị n'otu,attune
na -ege ntị,audible
na -ege ntị,audibly
dị mma,auspicious
ezigbo,authentic
ikikere,authoritative
kwurula,autonomous
dị,available
aver,aver
na -achọsi ike,avidly
egwu,awe
dị egwu,awed
dị ịtụnanya,awesomely
ịdị ebube,awesomeness
juru gị anya,awestruck
dị egwu,awsome
ọkpụkpụ azụ,backbone
guzozie eguzozie,balanced
mara mma,beauteous
mara mma,beautifullly
ịma mma,beauty
beckon,beckon
na -agba aka,beckoned
na -achọ,beckoning
na -akpọ oku,beckons
kwere ekwe,believable
kwere ekwe,believeable
onye enyemaka,benefactor
onye ebere,beneficent
bara uru,beneficial
bara uru,beneficially
onye erite uru,beneficiary
obi oma,benevolence
obi oma,benevolent
uru,benifits
kacha mara amara,best-known
na-eme nke ọma,best-performing
kacha ere,best-selling
ka amara,better-known
mma karịa ka a tụrụ anya ya,better-than-expected
mara mma,beutifully
enweghị ntụpọ,blameless
na -atọ ụtọ,blissfully
oge ntoju,bloom
otuto,blossom
kwalite,bolster
ọkpụkpụ,bonny
ego,bonus
ego,bonuses
ọganihu,boom
na -eme mkpọtụ,booming
enweghi oke,boundless
bara ụba,bountiful
nke kacha dị nkọ,brainiest
ụbụrụ,brainy
kacha ọhụrụ,brand-new
obi ike,bravery
bravo,bravo
ọganihu,breakthroughs
iku ume,breathlessness
na -eku ume,breathtakingly
ikuku,breeze
nwuo,brighten
chawapụrụ,brighter
amamiihe,brilliance
amamiihe,brilliances
nke ọma,brilliantly
nwanne nwoke,brotherly
egwu,bullish
cajole,cajole
ịdị jụụ,calmness
ike,capability
ike,capably
dọta,captivate
na -adọrọ mmasị,captivating
nkwụnye ego,cashback
akpa ego,cashbacks
na -adọrọ adọrọ,catchy
ememe,celebration
usọrọ,celebratory
onye mmeri,champ
onye mmeri,champion
charisma,charisma
adọrọ adọrọ,charismatic
ọrụ ebere,charitable
maa mma,charmingly
dị ọcha,chaste
dị ọnụ ala,cheaper
ọnụ ala,cheapest
cherub,cherub
chivalrous,chivalrous
chivalry,chivalry
obodo,civility
mmepe anya,civilize
kpochapụwo,classic
kacha dị ọcha,cleanest
ịdị ọcha,cleanliness
nke oma,cleanly
doro anya,clear-cut
dokwuo anya,clearer
aghụghọ,cleverly
cohere,cohere
njikọta,coherence
dakọtara,coherent
jikọtara ọnụ,cohesive
acha,colorful
mara mma,comely
nkasi obi,comfortably
dị mma,comfy
ịja mma,commendable
ịja mma,commendably
ihe bara uru,commodious
kọmpat,compact
kọmpat,compactly
ọmịiko,compassion
dakọtara,compatible
mmeju,complement
nkwado,complementary
gbakwunyere,complemented
mmeju,complements
irube isi,compliant
otito,compliment
ekele,complimentary
mmekorita,conciliatory
nkenke,concise
dị ndụ,congenial
ekele,congratulatory
akọ na uche,conscientious
echebara echiche,considerate
na -agbanwe agbanwe,consistent
oge niile,consistently
na -ewuli elu,constructive
imezu,consummate
afọ ojuju,contentment
aga n'ihu,continuity
nkwekọrịta,contrasty
onyinye,contribution
mma,convenience
adaba,convenient
na -adaba,conveniently
nkwenye,convience
nkwekọrịta,convienient
kwenye,convient
na -ekwenye ekwenye,convincing
n'ụzọ doro anya,convincingly
nke kacha dị jụụ,coolest
na -ekwenye ekwenye,cooperative
nkwado,cooperatively
nkume isi nkuku,cornerstone
ziri ezi,correct
n'ụzọ ziri ezi,correctly
ọnụ ahịa,cost-effective
ịchekwa ego,cost-saving
mgbochi-ọgụ,counter-attack
mgbochi mwakpo,counter-attacks
n'atụghị egwu,courageously
obi ike,courageousness
n'ikike,courtly
ọgbụgba ndụ,covenant
mma,cozy
nkwenye,credence
kwesiri ntukwasi obi,credible
siri ike,crisp
crisper,crisper
ọgwụgwọ,cure
ọgwụgwọ-niile,cure-all
cushy,cushy
ịdị mma,cuteness
danke,danke
danken,danken
na -atụ egwu,daringly
enyi m,darling
na -akụ,dashing
chi ọbụbọ,dawn
dazzle,dazzle
na -atụ n'anya,dazzled
na -egbu maramara,dazzling
nwụrụ anwụ-ọnụ ala,dead-cheap
nwụrụ anwụ,dead-on
nrubeisi,decency
dị mma,decent
mkpebi siri ike,decisiveness
mmeri,defeat
meriri,defeated
na -emeri,defeating
mmeri,defeats
nkwanye ùgwù,deference
igirigi,deft
mebiri emebi,deginified
na -adọrọ adọrọ,delectable
nri ụtọ,delicacy
siri,delicate
ụtọ,delicious
obi uto,delightful
dị ụtọ,delightfully
obi ụtọ,delightfulness
a pụrụ ịdabere na ya,dependable
dabere,dependably
kwesiri,deservedly
kwesiri,deserving
na -achọ,desiring
akara aka,destiny
kemwepu,detachable
onye ji okpukpe kpọrọ ihe,devout
dị nkọ,dexterous
na -agbagha,dexterously
dextrous,dextrous
dị ùgwù,dignified
kwanyere ugwu ugwu,dignify
ugwu,dignity
ịdị uchu,diligence
ịdị uchu,diligent
uchu,diligently
onye ọchịchị,diplomatic
unyi-ọnụ ala,dirt-cheap
iheiche,distinction
pụrụ iche,distinctive
dị iche,distinguished
di iche iche,diversified
Chukwu,divine
Chineke,divinely
chịkwaa,dominate
chịrị,dominated
na -achị,dominates
dote,dote
na -asọ oyi,dotingly
obi abụọ,doubtless
ala nrọ,dreamland
dumbfound,dumbfounded
dumbfounding,dumbfounding
dummy-àmà,dummy-proof
inogide,durable
ike,dynamic
jiri ịnụ ọkụ n'obi,eagerly
ịnụ ọkụ n'obi,eagerness
siri ike,earnestly
ezi obi,earnestness
dị mfe,eased
na -adị mfe,eases
Dị mfe karịa,easier
kacha mfe,easiest
ịdị mfe,easiness
na -ebelata,easing
dị mfe iji,easy-to-use
dị fechaa,easygoing
ebullience,ebullience
ebullient,ebullient
ebulliently,ebulliently
nke okwu,ecenomical
echekwa,economical
obi ụtọ,ecstasies
obi ụtọ,ecstasy
n'ụzọ dị egwu,ecstatically
mezie,edify
gụrụ akwụkwọ,educated
ịdị irè,effectiveness
dị irè,effectual
dị irè,efficacious
oru oma,efficient
rụọ ọrụ nke ọma,efficiently
enweghi mgbali,effortless
mgbalị,effortlessly
mgbapụta,effusion
dị irè,effusive
nke ọma,effusively
ịdị mma,effusiveness
elan,elan
dị ụtọ,elate
ọlatedụ,elatedly
electrify,electrify
ịma mma,elegance
bulie,elevate
ọkaibe,elite
ikwu okwu,eloquence
onye ikwu okwu,eloquent
ikwu okwu,eloquently
nwee obi ike,embolden
ukwu,eminence
ama ama,eminent
nwee ọmịiko,empathize
mmetụta ọmịiko,empathy
nye ike,empower
ike,empowerment
enchant,enchant
enchanting,enchanting
na -atọ ụtọ,enchantingly
na -agba ume,encouraging
na -agba ume,encouragingly
enyi,endear
na -amasị,endearing
na -akwado,endorsing
gbasie ike,energize
na-arụ ọrụ nke ọma,energy-efficient
