translatedText,word,emotion,emotion-intensity-score
yi laifi,offend,anger,0.75
tsoro,horror,anger,0.75
tawaye,revolting,anger,0.75
raina,despise,anger,0.75
alfasha,vulgarity,anger,0.75
kuka,growling,anger,0.75
stfu,stfu,anger,0.75
cin zarafi,molestation,anger,0.742
fuckedoff,fuckedoff,anger,0.742
fashe,erupt,anger,0.742
tashin hankali,violence,anger,0.742
m,horrible,anger,0.742
ihu,screaming,anger,0.742
barazana,threat,anger,0.742
banza,bastards,anger,0.741
fansa,revenge,anger,0.738
tsoratarwa,menacing,anger,0.735
murkushewa,crushing,anger,0.735
Tsine,damn,anger,0.735
bala'i,catastrophe,anger,0.735
aljani,demon,anger,0.735
jayayya,argue,anger,0.734
ciyarwa,fedup,anger,0.734
zafi,vehement,anger,0.734
bugawa,thrash,anger,0.734
yaƙi,warfare,anger,0.734
tawaye,revolt,anger,0.734
bulala,flog,anger,0.734
baƙin ciki,deplore,anger,0.734
tsanantawa,persecute,anger,0.734
rudani,riotous,anger,0.734
sabani,altercation,anger,0.729
warlike,warlike,anger,0.728
tawaye,mutiny,anger,0.727
ranar soyayya,shitday,anger,0.727
sabotage,sabotage,anger,0.727
jifa,castrate,anger,0.727
yajin aiki,strike,anger,0.721
mugu,malevolent,anger,0.721
bala'i,disaster,anger,0.721
m,disastrous,anger,0.72
rainawa,disdain,anger,0.719
shaƙa,choke,anger,0.719
arseholes,arseholes,anger,0.719
shaidan,devil,anger,0.719
ihu,scream,anger,0.719
m,spiteful,anger,0.719
cin mutunci,bastarding,anger,0.719
zafi,scorching,anger,0.719
doki,horseshit,anger,0.719
ha'inci,treachery,anger,0.719
kashe,slay,anger,0.719
m,brutal,anger,0.719
tashin hankali,tumult,anger,0.719
mahaukaci,madden,anger,0.719
kara tsanantawa,aggravates,anger,0.719
kwari,vermin,anger,0.719
anarchism,anarchism,anger,0.714
yankewa,mutilation,anger,0.714
mangle,mangle,anger,0.714
mai laifi,criminal,anger,0.714
naushi,punch,anger,0.713
la'anta,denunciation,anger,0.713
kisan kiyashi,holocaust,anger,0.712
sabo,blasphemous,anger,0.712
yaƙi,battled,anger,0.712
dumbasses,dumbasses,anger,0.712
m,fatal,anger,0.712
virulence,virulence,anger,0.712
kada ku so,dontlikeyou,anger,0.712
ciwo,hurting,anger,0.712
giciye,crucifixion,anger,0.712
deranged,deranged,anger,0.706
mugunta,evil,anger,0.706
haushi,irritated,anger,0.706
m,atrocious,anger,0.706
kisa,assassin,anger,0.703
tsoratarwa,intimidation,anger,0.703
fitina,persecution,anger,0.703
mai kisan kai,slayer,anger,0.703
sacewa,kidnap,anger,0.703
dicks,dicks,anger,0.703
tsawatawa,scolding,anger,0.703
ya tsananta,aggravated,anger,0.703
zalunci,aggression,anger,0.702
dauke da makamai,armed,anger,0.7
guba,poison,anger,0.697
kumbura,snarling,anger,0.697
dafi,venom,anger,0.697
yaƙi,battle,anger,0.697
rashin jin daɗi,disgruntled,anger,0.693
maharin,assailant,anger,0.691
m,insidious,anger,0.691
bacin rai,resentment,anger,0.691
raini,contemptuous,anger,0.69
kwanciya,lynch,anger,0.69
mahaukaci,lunatic,anger,0.688
mahaukaci,mad,anger,0.688
tsotso,peeved,anger,0.688
zalunci,bully,anger,0.688
fushi,temper,anger,0.688
kashe -kashe,infanticide,anger,0.688
la'ana,curse,anger,0.688
mamayewa,domination,anger,0.688
kurkuku,imprisonment,anger,0.688
m,terrible,anger,0.688
rashin mutunci,disparage,anger,0.688
makememad,makesmemad,anger,0.688
rashin ƙarfi,volatility,anger,0.687
kawarwa,eradication,anger,0.685
dan iska,scoundrel,anger,0.682
kawar da,eradicate,anger,0.682
tashin hankali,tantrum,anger,0.682
ɓarna,devastate,anger,0.682
tashin hankali,agitation,anger,0.68
da tashin hankali,aggressively,anger,0.68
fusata,irritates,anger,0.676
mulkin kama -karya,dictatorship,anger,0.676
lalata,profanity,anger,0.673
dastardly,dastardly,anger,0.672
m,expletive,anger,0.672
fashewa,wreak,anger,0.672
raini,contempt,anger,0.672
aikata laifi,crime,anger,0.672
mai guba,poisonous,anger,0.672
m,nasty,anger,0.672
tsanantawa,aggravation,anger,0.672
hukunci,condemnation,anger,0.672
m,egregious,anger,0.672
ture,shove,anger,0.672
harba,shoot,anger,0.672
harbi,shot,anger,0.672
murkushe,crushed,anger,0.672
m,corrupting,anger,0.672
mai cutarwa,harmful,anger,0.672
zalunci,cruelly,anger,0.672
mahaukaci,maniac,anger,0.67
m,irritable,anger,0.667
harbi,shooting,anger,0.667
m,odious,anger,0.667
ihu,shout,anger,0.667
fashewa,eruption,anger,0.667
cuttroat,cutthroat,anger,0.667
shura,kick,anger,0.667
kowa da kowa,hateeveryone,anger,0.667
buga,hit,anger,0.667
fada,fight,anger,0.667
abokin gaba,enemy,anger,0.667
fama,combat,anger,0.667
m,aggressive,anger,0.667
azabtar,punished,anger,0.662
ihu,yell,anger,0.661
kwanton bauna,ambush,anger,0.661
tursasawa,harass,anger,0.659
gore,gore,anger,0.656
korar,expel,anger,0.656
m,malignant,anger,0.656
halaka,destruction,anger,0.656
mai zalunci,aggressor,anger,0.656
turare,incense,anger,0.656
fushi,grudge,anger,0.656
maƙiyin Kristi,antichrist,anger,0.656
m,cranky,anger,0.653
ramuwar gayya,reprisal,anger,0.652
bawa,slave,anger,0.652
guguwa,growl,anger,0.652
yi laifi,offended,anger,0.652
karo,clashing,anger,0.652
zagi,insulting,anger,0.652
fitina,insurrection,anger,0.652
spank,spank,anger,0.652
ƙiyayya,animosity,anger,0.652
la'anta,denounce,anger,0.652
guguwa,growls,anger,0.649
mai aiwatarwa,executioner,anger,0.644
twat,twat,anger,0.644
ranar alkiyama,doomsday,anger,0.643
bam,bombard,anger,0.641
rigima,feud,anger,0.641
wanda ake zargi,accused,anger,0.641
ƙonawa,arson,anger,0.641
aljannu,daemon,anger,0.641
dauri,shackle,anger,0.641
m,indignant,anger,0.641
batsa,obscenity,anger,0.641
tofa,spat,anger,0.641
halaka,havoc,anger,0.641
grr,grr,anger,0.641
uzuri,inexcusable,anger,0.641
fitarwa,expulsion,anger,0.641
tsawata,reprimand,anger,0.641
somad,somad,anger,0.637
guba,poisoned,anger,0.636
harbawa,kicking,anger,0.636
rauni,wound,anger,0.636
batter,batter,anger,0.636
takaici,frustrated,anger,0.636
rataye,hanging,anger,0.636
abin ƙyama,disgusting,anger,0.636
bugawa,spanking,anger,0.636
kashe kansa,suicidal,anger,0.636
rashin zaman lafiya,anarchy,anger,0.636
haske,glaring,anger,0.636
mayaƙi,combatant,anger,0.636
fashe,wrecked,anger,0.633
cutarwa,inflict,anger,0.633
damuwa,grievous,anger,0.632
yaudara,cheat,anger,0.63
gurfanar,prosecute,anger,0.63
tashin hankali,agitated,anger,0.63
swastika,swastika,anger,0.627
bautar,enslaved,anger,0.625
bulala,scourge,anger,0.625
kai hari,raid,anger,0.625
shaƙewa,suffocation,anger,0.625
cin mutunci,defamatory,anger,0.625
tuhumar,indict,anger,0.625
la'anta,cursing,anger,0.625
tsokana,provocation,anger,0.625
tursasawa,harassing,anger,0.625
rauni,injure,anger,0.625
cin amana,betray,anger,0.625
tsawa,thundering,anger,0.625
fitina,strife,anger,0.625
rami,arsehole,anger,0.624
jajirce,jerk,anger,0.621
ramuwar gayya,retaliation,anger,0.621
fiend,fiend,anger,0.621
sata,theft,anger,0.621
mahaukaci,insane,anger,0.621
fusata,irritate,anger,0.621
hanawa,deprivation,anger,0.621
mai laifi,convict,anger,0.621
cussed,cussed,anger,0.619
tashin hankali,turmoil,anger,0.618
smack,smack,anger,0.615
azaba,retribution,anger,0.614
m,adverse,anger,0.609
baturi,battery,anger,0.609
twats,twats,anger,0.609
karo,collision,anger,0.609
m,injurious,anger,0.609
tawaye,rebellion,anger,0.609
bauta,slavery,anger,0.609
ƙungiya,gang,anger,0.609
rashin tausayi,irritability,anger,0.609
m,bitterly,anger,0.609
azzalumi,oppressor,anger,0.609
adawa,antagonism,anger,0.609
m,intolerable,anger,0.609
wulakanci,disgraced,anger,0.608
diatribe,diatribe,anger,0.606
rashin lafiya,sickening,anger,0.606
rantsuwa,ranting,anger,0.606
mahaukaci,asshole,anger,0.606
irks,irks,anger,0.606
m,irritating,anger,0.606
nuna bambanci,discrimination,anger,0.606
tashin bam,bombardment,anger,0.606
ɗan daba,thug,anger,0.606
mai adawa,antagonistic,anger,0.606
juyin juya hali,revolution,anger,0.606
fashewa,blast,anger,0.606
takaici,frustrate,anger,0.604
tashin hankali,tension,anger,0.603
magudi,manipulation,anger,0.603
zalunci,oppression,anger,0.603
m,hurtful,anger,0.603
zagi,insult,anger,0.603
gajiya,tiredofit,anger,0.603
girman kai,bigot,anger,0.603
ƙyama,disgust,anger,0.602
mugunta,spite,anger,0.6
mai kutsawa,intrusive,anger,0.598
tauri,harshness,anger,0.597
slur,slur,anger,0.596
daci,bitterness,anger,0.594
guguwa,tempest,anger,0.594
abin bakin ciki,miserable,anger,0.594
cututtuka,morbidity,anger,0.594
kai hari,assail,anger,0.594
huda,puncture,anger,0.594
mamayewa,invasion,anger,0.594
rashin zafi,inferno,anger,0.594
wanda aka kashe,casualty,anger,0.594
hadari,storming,anger,0.594
mugu,wretch,anger,0.594
firgita,consternation,anger,0.592
guillotine,guillotine,anger,0.591
da karfi,forcibly,anger,0.591
rinjaye,overpowering,anger,0.591
m,immoral,anger,0.591
mai laifi,guilty,anger,0.591
lalata,depraved,anger,0.591
raving,raving,anger,0.591
soannoyed,soannoyed,anger,0.588
m,recalcitrant,anger,0.588
la'ananne,accursed,anger,0.588
dunƙule,screwed,anger,0.588
mai mamayewa,invader,anger,0.588
tsorata,scare,anger,0.588
fushi,indignation,anger,0.587
kishi,jealousy,anger,0.587
damuwa,vexed,anger,0.586
yi karo,confront,anger,0.582
zalunci,brute,anger,0.581
maƙura,throttle,anger,0.579
tsokana,provoking,anger,0.578
juyin mulki,coup,anger,0.578
sacewa,pillage,anger,0.578
lalacewa,damage,anger,0.578
rufewa,shutup,anger,0.578
mai jayayya,contentious,anger,0.578
rufe,shutit,anger,0.578
rigima,bickering,anger,0.578
ɗaurin kurkuku,incarceration,anger,0.578
mahauci,butcher,anger,0.578
lash,lash,anger,0.578
rikici,conflict,anger,0.578
wuta,blaze,anger,0.578
lalata,slut,anger,0.578
m,defiant,anger,0.578
rushewa,wreck,anger,0.578
revolver,revolver,anger,0.578
yousuck,yousuck,anger,0.578
laifi,criminality,anger,0.578
ciwon daji,cancer,anger,0.577
takaici,frustration,anger,0.576
tsayawar,standoff,anger,0.576
gori,gory,anger,0.576
kar ku damu,dontmess,anger,0.576
nisantawa,alienation,anger,0.576
bindiga,gun,anger,0.576
m,pernicious,anger,0.576
gira,grope,anger,0.576
rashin jituwa,discord,anger,0.576
ƙasƙantar da kai,condescension,anger,0.576
nuna bambanci,discriminate,anger,0.576
sabo,blasphemy,anger,0.576
m,chaotic,anger,0.576
tashin hankali,disturbance,anger,0.576
friggen,friggen,anger,0.575
jab,jab,anger,0.574
girman kai,monstrosity,anger,0.574
hauka,lunacy,anger,0.574
zalunci,oppressive,anger,0.574
abin kunya,scandalous,anger,0.574
la'ananne,cursed,anger,0.574
zagi,sneer,anger,0.574
mutuwa,death,anger,0.574
shirme,shit,anger,0.573
yanka,slash,anger,0.571
rashin adalci,unfair,anger,0.571
wulakanci,disparaging,anger,0.571
rataye,gallows,anger,0.57
haɓaka,escalate,anger,0.569
rashin haƙuri,intolerant,anger,0.564
rashin bin doka,lawlessness,anger,0.563
m,bluddy,anger,0.562
m,dreadful,anger,0.562
arghh,arghh,anger,0.562
wulakanci,derogatory,anger,0.562
dabba,beast,anger,0.562
zagi,malign,anger,0.562
mayaudari,traitor,anger,0.562
m,grouchy,anger,0.562
ƙiren ƙarya,slander,anger,0.562
rigima,wrangling,anger,0.562
zagi,taunt,anger,0.562
halaka,perdition,anger,0.562
tsoratarwa,frightful,anger,0.562
mamayewa,invade,anger,0.562
haske,glare,anger,0.562
yaudara,deceived,anger,0.562
torpedo,torpedo,anger,0.562
bellows,bellows,anger,0.562
jinkiri,retards,anger,0.562
bearish,bearish,anger,0.562
rave,rave,anger,0.561
rauni,hurt,anger,0.561
grating,grating,anger,0.561
barawo,thief,anger,0.561
wanda ba a iya sarrafa shi,uncontrollable,anger,0.561
wawaye,idiots,anger,0.561
m,devastating,anger,0.561
banshee,banshee,anger,0.561
giciye,cross,anger,0.561
cin amana,betrayal,anger,0.561
yayi daidai,fits,anger,0.561
farfashe,shatter,anger,0.561
ƙonewa,conflagration,anger,0.561
barazana,jeopardize,anger,0.561
rashin jituwa,dissension,anger,0.561
subjugation,subjugation,anger,0.559
damuwa,disturbed,anger,0.559
buga,stomped,anger,0.557
kwace,grab,anger,0.557
alamar,ticked,anger,0.556
masochism,masochism,anger,0.556
korafi,grievance,anger,0.556
bijirewa,defiance,anger,0.552
cin zarafi,blackmail,anger,0.55
m,offensive,anger,0.549
decry,decry,anger,0.548
zunubi,sin,anger,0.547
fustrated,fustrated,anger,0.547
irin,ire,anger,0.547
tsare,confine,anger,0.547
yaudara,deceive,anger,0.547
arghhhh,arghhhh,anger,0.547
azaba,punishment,anger,0.547
cin zarafi,violation,anger,0.547
mugu,preposterous,anger,0.547
wulakanci,disgraceful,anger,0.547
duhu,darkside,anger,0.547
takaici,frustrates,anger,0.547
mai wuce gona da iri,overbearing,anger,0.547
zullumi,misery,anger,0.547
bindigogi,firearms,anger,0.547
'yan tawaye,rebel,anger,0.547
rawar jiki,shrill,anger,0.547
banbanci,disparity,anger,0.547
isa,hadenough,anger,0.546
sata,stolen,anger,0.546
mugunta,foul,anger,0.545
abokin gaba,adversary,anger,0.545
makirci,conspirator,anger,0.545
fadan,skirmish,anger,0.545
lalace,ruined,anger,0.545
annoyin,annoyin,anger,0.545
barazana,menace,anger,0.545
magance,tackle,anger,0.545
wulakanci,humiliate,anger,0.545
son zuciya,prejudice,anger,0.545
m,resentful,anger,0.545
abokin gaba,antagonist,anger,0.545
mai zafi,heated,anger,0.545
mai yawo,wanker,anger,0.545
m,callous,anger,0.545
jayayya,argument,anger,0.545
harba,sting,anger,0.544
kuka,outcry,anger,0.544
gunaguni,grumble,anger,0.544
fashi,robbery,anger,0.544
a haɗe,entangled,anger,0.544
juriya,resistance,anger,0.543
rashin jituwa,irreconcilable,anger,0.543
m,obstructive,anger,0.542
damuwa,dismay,anger,0.54
taron jama'a,mob,anger,0.538
tsaya kawai,juststop,anger,0.537
mugunta,badness,anger,0.536
ba'a,ridicule,anger,0.534
mai ƙonawa,incendiary,anger,0.533
walƙiya,flares,anger,0.532
fuska biyu,twofaced,anger,0.531
tsanantawa,exacerbation,anger,0.531
son zuciya,prejudicial,anger,0.531
mara tsari,unbridled,anger,0.531
mai kutsawa,intruder,anger,0.531
kwaminisanci,communism,anger,0.531
tashin hankali,uprising,anger,0.531
jayayya,dispute,anger,0.531
m,reckless,anger,0.531
tsarewa,confinement,anger,0.531
degeneracy,degeneracy,anger,0.531
bulala,whip,anger,0.531
ƙasƙanci,belittle,anger,0.531
zargi,allegation,anger,0.531
mai laifi,offender,anger,0.53
magance,tackled,anger,0.53
kama -karya,dictatorial,anger,0.53
karkacewa,perversion,anger,0.53
marasa adalci,unjust,anger,0.53
rashin kunya,fiesty,anger,0.53
matsala,hassle,anger,0.53
mara hujja,unjustifiable,anger,0.53
mai girman kai,bigoted,anger,0.53
dissonance,dissonance,anger,0.53
kurkuku,prison,anger,0.529
wuce gona da iri,trespass,anger,0.529
cantstandit,cantstandit,anger,0.529
zafi,hot,anger,0.529
mai yin ridda,renegade,anger,0.529
kashe kansa,suicide,anger,0.521
haushi,annoy,anger,0.52
Ku bar ni,leavemealone,anger,0.517
lalata,depravity,anger,0.516
iska,venting,anger,0.516
saki,divorce,anger,0.516
marasa gaskiya,dishonest,anger,0.516
fursuna,prisoner,anger,0.516
tilastawa,duress,anger,0.516
m,inimical,anger,0.516
grrr ba,grrr,anger,0.516
wawa,idiotic,anger,0.516
cin amanar kasa,treason,anger,0.516
azaba,tortious,anger,0.516
zargi,criticize,anger,0.516
rashin mutunci,disrespectful,anger,0.516
rashin yarda,distrust,anger,0.516
cretins,cretins,anger,0.516
broil,broil,anger,0.516
rataya,hangry,anger,0.515
m,unkind,anger,0.515
bile,bile,anger,0.515
ruri,roar,anger,0.515
farauta,poaching,anger,0.515
mai gafartawa,unforgiving,anger,0.515
masu farauta,poachers,anger,0.515
foda,pow,anger,0.515
saki,unleash,anger,0.515
tsawata,scold,anger,0.515
jayayya,argumentation,anger,0.515
hargitsi,chaos,anger,0.515
abin takaici,frustrating,anger,0.515
jerks,jerks,anger,0.515
tilastawa,coercion,anger,0.515
guguwa,grump,anger,0.515
wanda aka zalunta,victimized,anger,0.515
rikici,tussle,anger,0.514
ban,bane,anger,0.511
zargi,accusation,anger,0.51
ƙiyayya,enmity,anger,0.51
kin amincewa,repudiation,anger,0.51
kore,banish,anger,0.509
nakasasshe,disfigured,anger,0.508
hadari,storm,anger,0.507
wulakanci,derogation,anger,0.5
toshe,obstruct,anger,0.5
babu wanda ya damu,nobodycares,anger,0.5
ya ƙaryata,rejects,anger,0.5
m,unruly,anger,0.5
mahaukaci,crazy,anger,0.5
hamma,hammering,anger,0.5
rashin aikin yi,malpractice,anger,0.5
frenzied,frenzied,anger,0.5
danniya,suppression,anger,0.5
izgili,scoff,anger,0.5
mallaki,possessed,anger,0.5
m,intractable,anger,0.5
kuzari,fervor,anger,0.5
rudu,delusional,anger,0.5
rauni,brunt,anger,0.5
tsare,confined,anger,0.5
rashin adalci,injustice,anger,0.5
guji,shun,anger,0.5
sabawa,defy,anger,0.5
baƙin ciki,anguish,anger,0.5
antithesis,antithesis,anger,0.5
tsoro,fear,anger,0.5
fadan,bout,anger,0.5
ba'a,derision,anger,0.5
kore,banished,anger,0.5
animus,animus,anger,0.5
ƙi,reject,anger,0.5
mashi,spear,anger,0.5
mamaye,dominate,anger,0.5
patronizing,patronising,anger,0.5
rashin kunya,brazen,anger,0.5
rushewa,disrupting,anger,0.5
wahala,ordeal,anger,0.5
kumfa,foaming,anger,0.5
shawo kanku,getoveryourself,anger,0.495
wawaye,stupidpeople,anger,0.492
tauri,toughness,anger,0.492
mai zunubi,sinful,anger,0.491
hauka,madness,anger,0.491
zalunci,oppress,anger,0.49
son zuciya,avarice,anger,0.49
tsinema,anathema,anger,0.485
lalata,incest,anger,0.485
rashin yarda,dissident,anger,0.485
soke,abolish,anger,0.485
mai fasa -kwauri,smuggler,anger,0.485
faratu,claw,anger,0.485
soke,revoke,anger,0.485
gunaguni,complaint,anger,0.485
cin zarafi,infraction,anger,0.485
mai ɗaukar fansa,avenger,anger,0.485
karkatattu,pervert,anger,0.485
yankan,cutting,anger,0.485
cin riba,usurp,anger,0.485
m,inhuman,anger,0.485
rashin aiki,disservice,anger,0.485
haushi,annoyed,anger,0.485
stayaway,stayaway,anger,0.485
rashin biyayya,disobedient,anger,0.485
ware,alienate,anger,0.485
fricking,fricking,anger,0.485
buƙata,demand,anger,0.485
ba a yarda ba,disapproved,anger,0.485
fitar,oust,anger,0.484
mai kara,litigious,anger,0.484
kishiya,rivalry,anger,0.484
izgili,mocking,anger,0.484
m,obnoxious,anger,0.484
busa,thresh,anger,0.484
takura,restrain,anger,0.484
zargi,blame,anger,0.484
yaudara,deceit,anger,0.484
damuwa,strained,anger,0.484
azaba,penalty,anger,0.484
adawa,opposed,anger,0.484
wulakanci,disgrace,anger,0.484
daure,imprisoned,anger,0.484
tsotsa,sucker,anger,0.484
m,suspicious,anger,0.484
tashin hankali,upheaval,anger,0.484
watsi,renounce,anger,0.484
tashin hankali,turbulence,anger,0.483
laban,pound,anger,0.481
sanyi,coldness,anger,0.477
butulci,ungrateful,anger,0.472
stoopid,stoopid,anger,0.471
bataliya,battalion,anger,0.471
makamai,armament,anger,0.47
mai kishi,jealous,anger,0.47
garkuwa,hostage,anger,0.47
wahala,adversity,anger,0.47
kafiri,infidel,anger,0.47
rago,ram,anger,0.47
m,annoying,anger,0.47
mallaki,dispossessed,anger,0.47
feudalism,feudalism,anger,0.47
gall,gall,anger,0.47
mai zargi,accuser,anger,0.47
gogayya,friction,anger,0.47
subversion,subversion,anger,0.47
ganima,plunder,anger,0.469
tunzura,incite,anger,0.469
ƙin yarda,objection,anger,0.469
tafasa,simmer,anger,0.469
laifi,offense,anger,0.469
koka,complain,anger,0.469
rauni,injury,anger,0.469
rushewa,disruption,anger,0.469
backoff,backoff,anger,0.469
sata,steal,anger,0.469
gudanar da fushi,angermanagement,anger,0.469
takura,stifled,anger,0.469
kumbura,smother,anger,0.469
son kai,selfish,anger,0.469
ƙi,dislike,anger,0.469
sake dawowa,recidivism,anger,0.469
rashin biyayya,disobey,anger,0.469
rashin haƙuri,intolerance,anger,0.469
gudun hijira,exile,anger,0.469
buga,thump,anger,0.469
son kai,selfishness,anger,0.469
damuwa,distress,anger,0.469
huci,huff,anger,0.469
mai aikatawa,perpetrator,anger,0.469
yan tawaye,subversive,anger,0.469
adawa,opposition,anger,0.469
hauka,insanity,anger,0.469
areyoukidding,areyoukidding,anger,0.468
mug,mug,anger,0.467
azaba,agony,anger,0.465
masu girman kai,arrogant,anger,0.461
iska,vent,anger,0.456
sux,sux,anger,0.456
cin duri,picketing,anger,0.456
kawarwa,elimination,anger,0.456
