translatedText,word,emotion,emotion-intensity-score
iwa -ipa,violent,anger,0.844
gún,stab,anger,0.844
binu,infuriate,anger,0.844
pipa,slaughter,anger,0.844
irira,abomination,anger,0.844
parun,obliterate,anger,0.843
dumbbitch,dumbbitch,anger,0.841
oníjàgídíjàgan,belligerent,anger,0.841
irira,detest,anger,0.838
igbogunti,hostilities,anger,0.837
prick,prick,anger,0.835
ìkà,cruelty,anger,0.833
horrid,horrid,anger,0.833
rampage,rampage,anger,0.833
rabid,rabid,anger,0.833
ìdálóró,torture,anger,0.833
sataniki,satanic,anger,0.828
ikorira,hate,anger,0.828
ikorira,hating,anger,0.828
alagidi,tyrannical,anger,0.828
eṣu,demonic,anger,0.828
ragemode,ragemode,anger,0.828
ẹlẹgàn,despicable,anger,0.828
iparun,ruinous,anger,0.825
da lẹbi,condemn,anger,0.825
ìparun,extermination,anger,0.824
rudurudu,riots,anger,0.824
dickhead,dickhead,anger,0.824
binu,angry,anger,0.824
wó lulẹ̀,demolish,anger,0.824
livid,livid,anger,0.821
aṣiwere,madman,anger,0.82
ẹsan,vindictive,anger,0.819
ferocity,ferocity,anger,0.818
apanilaya,terrorist,anger,0.818
oró,venomous,anger,0.818
halẹ,threaten,anger,0.818
korira re,hateyou,anger,0.818
effyou,effyou,anger,0.818
korira,abhor,anger,0.816
ipakupa,carnage,anger,0.814
iwa ika,savage,anger,0.814
iwa ika,atrocity,anger,0.814
fuming,fuming,anger,0.812
inu bibi,pissedoff,anger,0.812
pissesmeoff,pissesmeoff,anger,0.812
imuna,fierce,anger,0.812
ilokulo,abuse,anger,0.812
ẹranko,barbaric,anger,0.812
aṣeju,berserk,anger,0.812
fucksake,fucksake,anger,0.812
vendetta,vendetta,anger,0.812
binu,angrytweet,anger,0.812
apanirun,destroyer,anger,0.812
alade,tyrant,anger,0.812
ibinu,anger,anger,0.811
nkan isere,pieceofshit,anger,0.81
slam,slam,anger,0.803
lilu,punching,anger,0.803
ipaniyan,homicide,anger,0.803
lù,punched,anger,0.803
bishi,bitch,anger,0.803
ìjà,fights,anger,0.803
apanirun,destructive,anger,0.797
aláìláàánú,ruthless,anger,0.797
buburu,villainous,anger,0.797
gbá,slap,anger,0.791
run,destroyed,anger,0.788
ragetweet,ragetweet,anger,0.788
agbo ẹran,slaughterhouse,anger,0.788
igbẹsan,retaliatory,anger,0.788
nkigbe,yelling,anger,0.788
rogbodiyan,riot,anger,0.788
ijiya,punishing,anger,0.788
dagba ifamọra,growthefuckup,anger,0.788
diabolical,diabolical,anger,0.788
figagbaga,clash,anger,0.783
ipaniyan,manslaughter,anger,0.783
apaadi,hellish,anger,0.781
itajesile,bloody,anger,0.781
ikorira,loath,anger,0.781
ìjà,quarrel,anger,0.781
ìbọn,detonation,anger,0.781
ẹlẹṣẹ,sinister,anger,0.781
fumin,fumin,anger,0.779
korira,hateeee,anger,0.779
arekereke,treacherous,anger,0.779
ẹsùn,accusing,anger,0.779
aṣiwere,madder,anger,0.773
gbesan,retaliate,anger,0.773
ifilọlẹ,revulsion,anger,0.773
oburewa,horrific,anger,0.773
ẹgan,scorn,anger,0.769
bombu,bomb,anger,0.766
ìbànújẹ́,deplorable,anger,0.766
anarchist,anarchist,anger,0.765
iparun,devastation,anger,0.765
binu,resent,anger,0.765
ijona ina,firestorm,anger,0.765
ẹgan,contemptible,anger,0.764
ẹlẹtan,shittest,anger,0.76
fọ,smash,anger,0.758
oloro,deadly,anger,0.758
soangry,soangry,anger,0.758
ariwo,rant,anger,0.758
ìka,cruel,anger,0.758
ariwo,outburst,anger,0.757
ipọnju,snarl,anger,0.754
crazed,crazed,anger,0.75
dontmesswithme,dontmesswithme,anger,0.75
alaimọ,profane,anger,0.75
aggravating,aggravating,anger,0.75
douchebags,douchebags,anger,0.75
ṣẹ,offend,anger,0.75
ibanuje,horror,anger,0.75
sote,revolting,anger,0.75
gàn,despise,anger,0.75
iwa palapala,vulgarity,anger,0.75
igbe,growling,anger,0.75
stfu,stfu,anger,0.75
ipaniyan,molestation,anger,0.742
aṣiwere,fuckedoff,anger,0.742
erupt,erupt,anger,0.742
iwa -ipa,violence,anger,0.742
oburewa,horrible,anger,0.742
ikigbe,screaming,anger,0.742
irokeke,threat,anger,0.742
ale,bastards,anger,0.741
igbẹsan,revenge,anger,0.738
idẹruba,menacing,anger,0.735
fifun pa,crushing,anger,0.735
Gbaga,damn,anger,0.735
ajalu,catastrophe,anger,0.735
ànjọ̀nú,demon,anger,0.735
jiyan,argue,anger,0.734
feedup,fedup,anger,0.734
igara,vehement,anger,0.734
ipọnju,thrash,anger,0.734
ogun,warfare,anger,0.734
ṣọtẹ,revolt,anger,0.734
nà,flog,anger,0.734
banujẹ,deplore,anger,0.734
inunibini si,persecute,anger,0.734
rudurudu,riotous,anger,0.734
altercation,altercation,anger,0.729
ogun bi,warlike,anger,0.728
ipaniyan,mutiny,anger,0.727
ojo ojo,shitday,anger,0.727
sabotage,sabotage,anger,0.727
castrate,castrate,anger,0.727
idasesile,strike,anger,0.721
aṣebiakọ,malevolent,anger,0.721
ajalu,disaster,anger,0.721
ajalu,disastrous,anger,0.72
kẹgàn,disdain,anger,0.719
pa,choke,anger,0.719
arseholes,arseholes,anger,0.719
bìlísì,devil,anger,0.719
paruwo,scream,anger,0.719
lilu,spiteful,anger,0.719
bastarding,bastarding,anger,0.719
gbigbona,scorching,anger,0.719
horseshit,horseshit,anger,0.719
arekereke,treachery,anger,0.719
Pa,slay,anger,0.719
ìka,brutal,anger,0.719
ariwo,tumult,anger,0.719
aṣiwere,madden,anger,0.719
aggravates,aggravates,anger,0.719
kokoro,vermin,anger,0.719
anarchism,anarchism,anger,0.714
ipaniyan,mutilation,anger,0.714
mangle,mangle,anger,0.714
odaran,criminal,anger,0.714
Punch,punch,anger,0.713
ìdálẹ́bi,denunciation,anger,0.713
ipaniyan,holocaust,anger,0.712
ọrọ odi,blasphemous,anger,0.712
jagun,battled,anger,0.712
dumbasses,dumbasses,anger,0.712
apaniyan,fatal,anger,0.712
virulence,virulence,anger,0.712
maṣe fẹran rẹ,dontlikeyou,anger,0.712
farapa,hurting,anger,0.712
agbelebu,crucifixion,anger,0.712
ti bajẹ,deranged,anger,0.706
ibi,evil,anger,0.706
hihun,irritated,anger,0.706
oniwa buburu,atrocious,anger,0.706
apaniyan,assassin,anger,0.703
idẹruba,intimidation,anger,0.703
inunibini,persecution,anger,0.703
apaniyan,slayer,anger,0.703
kidnap,kidnap,anger,0.703
dicks,dicks,anger,0.703
ibawi,scolding,anger,0.703
buru si,aggravated,anger,0.703
ifinran,aggression,anger,0.702
ni ihamọra,armed,anger,0.7
majele,poison,anger,0.697
ariwo,snarling,anger,0.697
oró,venom,anger,0.697
ogun,battle,anger,0.697
disgruntled,disgruntled,anger,0.693
apaniyan,assailant,anger,0.691
alaigbọran,insidious,anger,0.691
ìkóríra,resentment,anger,0.691
ẹgan,contemptuous,anger,0.69
lynch,lynch,anger,0.69
aṣiwere,lunatic,anger,0.688
asiwere,mad,anger,0.688
peeved,peeved,anger,0.688
ipanilaya,bully,anger,0.688
ibinu,temper,anger,0.688
ipaniyan ọmọ,infanticide,anger,0.688
eegun,curse,anger,0.688
akoso,domination,anger,0.688
ẹwọn,imprisonment,anger,0.688
ẹru,terrible,anger,0.688
disparage,disparage,anger,0.688
makememad,makesmemad,anger,0.688
iyipada,volatility,anger,0.687
imukuro,eradication,anger,0.685
ẹlẹgbin,scoundrel,anger,0.682
paarẹ,eradicate,anger,0.682
ibinu,tantrum,anger,0.682
iparun,devastate,anger,0.682
ibanuje,agitation,anger,0.68
ibinu,aggressively,anger,0.68
binu,irritates,anger,0.676
apanirun,dictatorship,anger,0.676
aibuku,profanity,anger,0.673
dastardly,dastardly,anger,0.672
expletive,expletive,anger,0.672
ibajẹ,wreak,anger,0.672
ẹgan,contempt,anger,0.672
ilufin,crime,anger,0.672
majele,poisonous,anger,0.672
ẹgbin,nasty,anger,0.672
irẹwẹsi,aggravation,anger,0.672
ìdálẹ́bi,condemnation,anger,0.672
egregious,egregious,anger,0.672
gbon,shove,anger,0.672
iyaworan,shoot,anger,0.672
ìbọn,shot,anger,0.672
itemole,crushed,anger,0.672
ibajẹ,corrupting,anger,0.672
ipalara,harmful,anger,0.672
ìkà,cruelly,anger,0.672
maniac,maniac,anger,0.67
irritable,irritable,anger,0.667
iyaworan,shooting,anger,0.667
ẹlẹgbin,odious,anger,0.667
kigbe,shout,anger,0.667
eruption,eruption,anger,0.667
ọgbẹ ọgbẹ,cutthroat,anger,0.667
tapa,kick,anger,0.667
gbogbo eniyan,hateeveryone,anger,0.667
lu,hit,anger,0.667
ja,fight,anger,0.667
ota,enemy,anger,0.667
ija,combat,anger,0.667
ibinu,aggressive,anger,0.667
jiya,punished,anger,0.662
kigbe,yell,anger,0.661
ibùba,ambush,anger,0.661
wahala,harass,anger,0.659
gore,gore,anger,0.656
le jade,expel,anger,0.656
buburu,malignant,anger,0.656
ìparun,destruction,anger,0.656
onijagidijagan,aggressor,anger,0.656
turari,incense,anger,0.656
kikorò,grudge,anger,0.656
Dajjal,antichrist,anger,0.656
cranky,cranky,anger,0.653
igbẹsan,reprisal,anger,0.652
ẹrú,slave,anger,0.652
igbe,growl,anger,0.652
ṣẹ,offended,anger,0.652
figagbaga,clashing,anger,0.652
itiju,insulting,anger,0.652
iṣọtẹ,insurrection,anger,0.652
nà,spank,anger,0.652
ikorira,animosity,anger,0.652
ibaniwi,denounce,anger,0.652
igbe,growls,anger,0.649
apaniyan,executioner,anger,0.644
twat,twat,anger,0.644
ọjọ iparun,doomsday,anger,0.643
bombu,bombard,anger,0.641
ija,feud,anger,0.641
ẹsun,accused,anger,0.641
sisun,arson,anger,0.641
daemon,daemon,anger,0.641
ẹwọn,shackle,anger,0.641
ibinu,indignant,anger,0.641
ohun airi,obscenity,anger,0.641
tutọ,spat,anger,0.641
iparun,havoc,anger,0.641
grr,grr,anger,0.641
alaigbọwọ,inexcusable,anger,0.641
imukuro,expulsion,anger,0.641
ibawi,reprimand,anger,0.641
somad,somad,anger,0.637
majele,poisoned,anger,0.636
gbigba,kicking,anger,0.636
ọgbẹ,wound,anger,0.636
batter,batter,anger,0.636
ibanuje,frustrated,anger,0.636
adiye,hanging,anger,0.636
ìríra,disgusting,anger,0.636
liluho,spanking,anger,0.636
igbẹmi ara ẹni,suicidal,anger,0.636
rudurudu,anarchy,anger,0.636
didan,glaring,anger,0.636
onija,combatant,anger,0.636
ti bajẹ,wrecked,anger,0.633
kọlu,inflict,anger,0.633
ibanuje,grievous,anger,0.632
iyanjẹ,cheat,anger,0.63
ṣe idajọ,prosecute,anger,0.63
binu,agitated,anger,0.63
swastika,swastika,anger,0.627
ẹrú,enslaved,anger,0.625
ẹgba,scourge,anger,0.625
igbogun ti,raid,anger,0.625
imukuro,suffocation,anger,0.625
itiju,defamatory,anger,0.625
fi ẹsun kan,indict,anger,0.625
eegun,cursing,anger,0.625
imunibinu,provocation,anger,0.625
imunibinu,harassing,anger,0.625
farapa,injure,anger,0.625
fi hàn,betray,anger,0.625
àrá,thundering,anger,0.625
ìjà,strife,anger,0.625
arsehole,arsehole,anger,0.624
oloriburuku,jerk,anger,0.621
igbẹsan,retaliation,anger,0.621
fiend,fiend,anger,0.621
ole,theft,anger,0.621
were,insane,anger,0.621
binu,irritate,anger,0.621
alaini,deprivation,anger,0.621
ẹlẹṣẹ,convict,anger,0.621
cussed,cussed,anger,0.619
rudurudu,turmoil,anger,0.618
lù,smack,anger,0.615
ẹsan,retribution,anger,0.614
ikolu,adverse,anger,0.609
batiri,battery,anger,0.609
twats,twats,anger,0.609
ijamba,collision,anger,0.609
ipalara,injurious,anger,0.609
iṣọtẹ,rebellion,anger,0.609
ẹrú,slavery,anger,0.609
onijagidijagan,gang,anger,0.609
irritability,irritability,anger,0.609
kikorò,bitterly,anger,0.609
aninilara,oppressor,anger,0.609
atako,antagonism,anger,0.609
ifarada,intolerable,anger,0.609
itiju,disgraced,anger,0.608
diatribe,diatribe,anger,0.606
aisan,sickening,anger,0.606
kigbe,ranting,anger,0.606
Iwoomusu,asshole,anger,0.606
irks,irks,anger,0.606
hihun,irritating,anger,0.606
iyasoto,discrimination,anger,0.606
bombu,bombardment,anger,0.606
onijagidijagan,thug,anger,0.606
alatako,antagonistic,anger,0.606
rogbodiyan,revolution,anger,0.606
fifún,blast,anger,0.606
ibanuje,frustrate,anger,0.604
ẹdọfu,tension,anger,0.603
ifọwọyi,manipulation,anger,0.603
inilara,oppression,anger,0.603
ipalara,hurtful,anger,0.603
itiju,insult,anger,0.603
bani o,tiredofit,anger,0.603
olufokansin,bigot,anger,0.603
ìríra,disgust,anger,0.602
laibikita,spite,anger,0.6
intrusive,intrusive,anger,0.598
lile,harshness,anger,0.597
slur,slur,anger,0.596
kikoro,bitterness,anger,0.594
iji,tempest,anger,0.594
ibanuje,miserable,anger,0.594
aisan,morbidity,anger,0.594
ikọlu,assail,anger,0.594
puncture,puncture,anger,0.594
ayabo,invasion,anger,0.594
inforno,inferno,anger,0.594
ijamba,casualty,anger,0.594
iji,storming,anger,0.594
ibanuje,wretch,anger,0.594
idaamu,consternation,anger,0.592
guillotine,guillotine,anger,0.591
fi agbara mu,forcibly,anger,0.591
alagbara,overpowering,anger,0.591
alaimo,immoral,anger,0.591
jẹbi,guilty,anger,0.591
ibajẹ,depraved,anger,0.591
raving,raving,anger,0.591
soannoyed,soannoyed,anger,0.588
alaigbagbọ,recalcitrant,anger,0.588
eegun,accursed,anger,0.588
dabaru,screwed,anger,0.588
ayabo,invader,anger,0.588
idẹruba,scare,anger,0.588
ibinu,indignation,anger,0.587
owú,jealousy,anger,0.587
binu,vexed,anger,0.586
dojuko,confront,anger,0.582
alaigbọran,brute,anger,0.581
finasi,throttle,anger,0.579
imunibinu,provoking,anger,0.578
ifipapo,coup,anger,0.578
ikogun,pillage,anger,0.578
bibajẹ,damage,anger,0.578
dake enu re,shutup,anger,0.578
àríyànjiyàn,contentious,anger,0.578
tiipa,shutit,anger,0.578
ariyanjiyan,bickering,anger,0.578
atimole,incarceration,anger,0.578
ẹran,butcher,anger,0.578
panṣa,lash,anger,0.578
rogbodiyan,conflict,anger,0.578
ina,blaze,anger,0.578
ọlẹ,slut,anger,0.578
alaigbọran,defiant,anger,0.578
ibajẹ,wreck,anger,0.578
iyipo,revolver,anger,0.578
o mu,yousuck,anger,0.578
odaran,criminality,anger,0.578
akàn,cancer,anger,0.577
ibanuje,frustration,anger,0.576
ìforígbárí,standoff,anger,0.576
gory,gory,anger,0.576
maṣe jẹ,dontmess,anger,0.576
iyapa,alienation,anger,0.576
ibon,gun,anger,0.576
pernicious,pernicious,anger,0.576
táràrà,grope,anger,0.576
iyapa,discord,anger,0.576
irẹlẹ,condescension,anger,0.576
iyasoto,discriminate,anger,0.576
ọrọ odi,blasphemy,anger,0.576
rudurudu,chaotic,anger,0.576
idamu,disturbance,anger,0.576
friggen,friggen,anger,0.575
jabọ,jab,anger,0.574
monstrosity,monstrosity,anger,0.574
aṣiwere,lunacy,anger,0.574
aninilara,oppressive,anger,0.574
scandalous,scandalous,anger,0.574
eegun,cursed,anger,0.574
ẹlẹgàn,sneer,anger,0.574
iku,death,anger,0.574
nik,shit,anger,0.573
din ku,slash,anger,0.571
aiṣedeede,unfair,anger,0.571
disparaging,disparaging,anger,0.571
igi,gallows,anger,0.57
pọ si,escalate,anger,0.569
alaigbọran,intolerant,anger,0.564
arufin,lawlessness,anger,0.563
bluddy,bluddy,anger,0.562
adẹtẹ,dreadful,anger,0.562
arghh,arghh,anger,0.562
ẹlẹgàn,derogatory,anger,0.562
ẹranko,beast,anger,0.562
buburu,malign,anger,0.562
ẹlẹtan,traitor,anger,0.562
alaigbọran,grouchy,anger,0.562
ìbanilórúkọjẹ́,slander,anger,0.562
jijakadi,wrangling,anger,0.562
ṣáátá,taunt,anger,0.562
ègbé,perdition,anger,0.562
ẹru,frightful,anger,0.562
gbogun,invade,anger,0.562
didan,glare,anger,0.562
tan,deceived,anger,0.562
torpedo,torpedo,anger,0.562
Bellows,bellows,anger,0.562
retards,retards,anger,0.562
ìgboyà,bearish,anger,0.562
rave,rave,anger,0.561
farapa,hurt,anger,0.561
grating,grating,anger,0.561
olè,thief,anger,0.561
ti ko ni idari,uncontrollable,anger,0.561
omugo,idiots,anger,0.561
apanirun,devastating,anger,0.561
banshee,banshee,anger,0.561
agbelebu,cross,anger,0.561
Júdà,betrayal,anger,0.561
ibaamu,fits,anger,0.561
fọ,shatter,anger,0.561
ijamba,conflagration,anger,0.561
ṣe ewu,jeopardize,anger,0.561
iyapa,dissension,anger,0.561
ìtẹríba,subjugation,anger,0.559
dojuru,disturbed,anger,0.559
stomped,stomped,anger,0.557
gbamu,grab,anger,0.557
fi ami si,ticked,anger,0.556
masochism,masochism,anger,0.556
ẹdun ọkan,grievance,anger,0.556
alaigbọran,defiance,anger,0.552
ifipabanilopo,blackmail,anger,0.55
ibinu,offensive,anger,0.549
kọ,decry,anger,0.548
ese,sin,anger,0.547
fustrated,fustrated,anger,0.547
ire,ire,anger,0.547
ihamọ,confine,anger,0.547
tan,deceive,anger,0.547
arghhhh,arghhhh,anger,0.547
ijiya,punishment,anger,0.547
ṣẹ,violation,anger,0.547
preposterous,preposterous,anger,0.547
itiju,disgraceful,anger,0.547
ṣokunkun,darkside,anger,0.547
ibanuje,frustrates,anger,0.547
apọju,overbearing,anger,0.547
ibanujẹ,misery,anger,0.547
ohun ija,firearms,anger,0.547
ọlọtẹ,rebel,anger,0.547
gbigbọn,shrill,anger,0.547
iyapa,disparity,anger,0.547
ko to,hadenough,anger,0.546
ji,stolen,anger,0.546
ahon,foul,anger,0.545
alatako,adversary,anger,0.545
apanirun,conspirator,anger,0.545
ìjà,skirmish,anger,0.545
ti baje,ruined,anger,0.545
annoyin,annoyin,anger,0.545
ewu,menace,anger,0.545
koju,tackle,anger,0.545
itiju,humiliate,anger,0.545
ikorira,prejudice,anger,0.545
ibinu,resentful,anger,0.545
alatako,antagonist,anger,0.545
kikan,heated,anger,0.545
alarinkiri,wanker,anger,0.545
alaigbọran,callous,anger,0.545
ariyanjiyan,argument,anger,0.545
ta,sting,anger,0.544
igbe,outcry,anger,0.544
kùn,grumble,anger,0.544
ole jija,robbery,anger,0.544
ti a dapọ,entangled,anger,0.544
resistance,resistance,anger,0.543
aiṣedeede,irreconcilable,anger,0.543
idiwọ,obstructive,anger,0.542
aibanujẹ,dismay,anger,0.54
agbajo eniyan,mob,anger,0.538
juststop,juststop,anger,0.537
buburu,badness,anger,0.536
ipaya,ridicule,anger,0.534
arannilọwọ,incendiary,anger,0.533
flares,flares,anger,0.532
oju meji,twofaced,anger,0.531
imukuro,exacerbation,anger,0.531
alatako,prejudicial,anger,0.531
unbridled,unbridled,anger,0.531
olufokansin,intruder,anger,0.531
komunisiti,communism,anger,0.531
uprising,uprising,anger,0.531
àríyànjiyàn,dispute,anger,0.531
aibikita,reckless,anger,0.531
atimọle,confinement,anger,0.531
degeneracy,degeneracy,anger,0.531
okùn,whip,anger,0.531
kereju,belittle,anger,0.531
esun,allegation,anger,0.531
ẹlẹṣẹ,offender,anger,0.53
dojuko,tackled,anger,0.53
dictatorial,dictatorial,anger,0.53
arekereke,perversion,anger,0.53
alaiṣododo,unjust,anger,0.53
iwa aiṣododo,fiesty,anger,0.53
wahala,hassle,anger,0.53
alaiṣedede,unjustifiable,anger,0.53
agbéraga,bigoted,anger,0.53
dissonance,dissonance,anger,0.53
tubu,prison,anger,0.529
irekọja,trespass,anger,0.529
ko le duro,cantstandit,anger,0.529
gbona,hot,anger,0.529
olodi,renegade,anger,0.529
igbẹmi ara ẹni,suicide,anger,0.521
binu,annoy,anger,0.52
fi mi silẹ,leavemealone,anger,0.517
iwa ibajẹ,depravity,anger,0.516
fifẹ,venting,anger,0.516
ikọsilẹ,divorce,anger,0.516
alaisododo,dishonest,anger,0.516
ẹlẹwọn,prisoner,anger,0.516
iponju,duress,anger,0.516
aiṣedeede,inimical,anger,0.516
grrr,grrr,anger,0.516
omugo,idiotic,anger,0.516
arekereke,treason,anger,0.516
onitara,tortious,anger,0.516
ṣofintoto,criticize,anger,0.516
alaibọwọ,disrespectful,anger,0.516
igbekele,distrust,anger,0.516
cretins,cretins,anger,0.516
broil,broil,anger,0.516
idorikodo,hangry,anger,0.515
alaanu,unkind,anger,0.515
bile,bile,anger,0.515
ariwo,roar,anger,0.515
iwapa,poaching,anger,0.515
alaforiji,unforgiving,anger,0.515
awọn ọdẹ,poachers,anger,0.515
etu,pow,anger,0.515
tu silẹ,unleash,anger,0.515
ibawi,scold,anger,0.515
ariyanjiyan,argumentation,anger,0.515
Idarudapọ,chaos,anger,0.515
ibanuje,frustrating,anger,0.515
jerks,jerks,anger,0.515
ipá,coercion,anger,0.515
kikoro,grump,anger,0.515
olufaragba,victimized,anger,0.515
ijapa,tussle,anger,0.514
eewọ,bane,anger,0.511
ẹsùn,accusation,anger,0.51
ikorira,enmity,anger,0.51
ikorira,repudiation,anger,0.51
yọ kuro,banish,anger,0.509
alaabo,disfigured,anger,0.508
iji,storm,anger,0.507
itagbangba,derogation,anger,0.5
dena,obstruct,anger,0.5
ko si ẹnikan,nobodycares,anger,0.5
kọ,rejects,anger,0.5
alaigbọran,unruly,anger,0.5
aṣiwere,crazy,anger,0.5
hammering,hammering,anger,0.5
aiṣedeede,malpractice,anger,0.5
frenzied,frenzied,anger,0.5
imukuro,suppression,anger,0.5
ẹgan,scoff,anger,0.5
ti gba,possessed,anger,0.5
intractable,intractable,anger,0.5
itara,fervor,anger,0.5
itanjẹ,delusional,anger,0.5
ibinujẹ,brunt,anger,0.5
ni ihamọ,confined,anger,0.5
aiṣododo,injustice,anger,0.5
yago fun,shun,anger,0.5
ẹgan,defy,anger,0.5
ibanujẹ,anguish,anger,0.5
antithesis,antithesis,anger,0.5
iberu,fear,anger,0.5
ija,bout,anger,0.5
ẹgan,derision,anger,0.5
ti yọ kuro,banished,anger,0.5
animus,animus,anger,0.5
kọ,reject,anger,0.5
ọkọ,spear,anger,0.5
jọba,dominate,anger,0.5
patronizing,patronising,anger,0.5
akọni,brazen,anger,0.5
idalọwọduro,disrupting,anger,0.5
ipọnju,ordeal,anger,0.5
foomu,foaming,anger,0.5
gba ara rẹ laye,getoveryourself,anger,0.495
omugo,stupidpeople,anger,0.492
líle,toughness,anger,0.492
elese,sinful,anger,0.491
isinwin,madness,anger,0.491
aninilara,oppress,anger,0.49
awari,avarice,anger,0.49
eegun,anathema,anger,0.485
ìbálòpọ̀,incest,anger,0.485
alatako,dissident,anger,0.485
parun,abolish,anger,0.485
alagbata,smuggler,anger,0.485
agbọn,claw,anger,0.485
fagilee,revoke,anger,0.485
ẹdun ọkan,complaint,anger,0.485
aiṣedede,infraction,anger,0.485
olugbẹsan,avenger,anger,0.485
agabagebe,pervert,anger,0.485
gige,cutting,anger,0.485
usurp,usurp,anger,0.485
alainibaba,inhuman,anger,0.485
aiṣedede,disservice,anger,0.485
nbaje,annoyed,anger,0.485
stayaway,stayaway,anger,0.485
alaigbọran,disobedient,anger,0.485
yapa,alienate,anger,0.485
ikọlu,fricking,anger,0.485
eletan,demand,anger,0.485
ti a ko fọwọsi,disapproved,anger,0.485
yọ kuro,oust,anger,0.484
ẹjọ,litigious,anger,0.484
orogun,rivalry,anger,0.484
ṣe ẹlẹyà,mocking,anger,0.484
obnoxious,obnoxious,anger,0.484
ìpakà,thresh,anger,0.484
ni ihamọ,restrain,anger,0.484
ibawi,blame,anger,0.484
ẹtan,deceit,anger,0.484
igara,strained,anger,0.484
ifiyaje,penalty,anger,0.484
atako,opposed,anger,0.484
itiju,disgrace,anger,0.484
ewon,imprisoned,anger,0.484
ọmu,sucker,anger,0.484
ifura,suspicious,anger,0.484
ariwo,upheaval,anger,0.484
kọ silẹ,renounce,anger,0.484
rudurudu,turbulence,anger,0.483
iwon,pound,anger,0.481
otutu,coldness,anger,0.477
alaimoore,ungrateful,anger,0.472
alaigbọran,stoopid,anger,0.471
ẹgbẹ́ ọmọ ogun,battalion,anger,0.471
ohun ija,armament,anger,0.47
owú,jealous,anger,0.47
idimu,hostage,anger,0.47
ipọnju,adversity,anger,0.47
alaigbagbọ,infidel,anger,0.47
Àgbo,ram,anger,0.47
didanubi,annoying,anger,0.47
ti yọ kuro,dispossessed,anger,0.47
feudalism,feudalism,anger,0.47
gall,gall,anger,0.47
olufisun,accuser,anger,0.47
edekoyede,friction,anger,0.47
subversion,subversion,anger,0.47
ikogun,plunder,anger,0.469
ru,incite,anger,0.469
atako,objection,anger,0.469
simmer,simmer,anger,0.469
ẹṣẹ,offense,anger,0.469
kerora,complain,anger,0.469
ipalara,injury,anger,0.469
idalọwọduro,disruption,anger,0.469
ifẹhinti lẹnu iṣẹ,backoff,anger,0.469
jale,steal,anger,0.469
ibinu ibinu,angermanagement,anger,0.469
lilu,stifled,anger,0.469
yiya,smother,anger,0.469
amotaraeninikan,selfish,anger,0.469
korira,dislike,anger,0.469
atunkọ,recidivism,anger,0.469
