word,machine_translation,human_translation,machine_translation_updated
humor,abun dariya,barkwanci,barkwanci
humorous,m,mai barkwanci,mai barkwanci
humour,abun dariya,NA,abun dariya
humourous,m,mai ban dariya,mai ban dariya
hurrah,yi sauri,NA,yi sauri
immortal,mara mutuwa,NA,mara mutuwa
immune,rigakafi,garkuwar jiki,garkuwar jiki
importance,muhimmanci,NA,muhimmanci
important,muhimmanci,NA,muhimmanci
impress,burge,NA,burge
impressed,burge,NA,burge
impresses,burge,NA,burge
impressive,ban sha'awa,NA,ban sha'awa
improve,inganta,NA,inganta
improved,inganta,NA,inganta
improvement,kyautatawa,NA,kyautatawa
improves,inganta,NA,inganta
improving,inganta,NA,inganta
increase,karuwa,NA,karuwa
increased,ya karu,NA,ya karu
indestructible,mara lalacewa,NA,mara lalacewa
infatuated,soyayya,NA,soyayya
infatuation,soyayya,NA,soyayya
influential,tasiri,NA,tasiri
innovate,kirkire-kirkire,NA,kirkire-kirkire
innovates,bidi'a,yana kirkira,yana kirkira
innovation,bidi'a,kirkira,kirkira
innovative,bidi'a,na kirkira,na kirkira
inquisitive,mai bincike,NA,mai bincike
inspiration,wahayi,taba ruhi,taba ruhi
inspirational,wahayi,mai taba ruhi,mai taba ruhi
inspire,wahayi,taba ruhi,taba ruhi
inspired,wahayi,taba ruhi,taba ruhi
inspires,wahayi,yana taba ruhi,yana taba ruhi
inspiring,yin ishãra,mai taba ruhi,mai taba ruhi
intact,m,daidai,daidai
integrity,mutunci,NA,mutunci
intelligent,mai hankali,NA,mai hankali
intense,mai tsanani,NA,mai tsanani
interest,sha'awa,NA,sha'awa
interested,mai sha'awa,NA,mai sha'awa
interesting,mai ban sha'awa,NA,mai ban sha'awa
interests,bukatun,yana sha'awa,yana sha'awa
intricate,rikitarwa,NA,rikitarwa
intrigues,makirci,NA,makirci
invincible,wanda ba a iya cin nasara,rashin nasara,rashin nasara
invite,gayyata,NA,gayyata
inviting,kira,NA,kira
invulnerable,mara lalacewa,NA,mara lalacewa
irresistible,wanda ba a iya hana shi,wanda ba a bari,wanda ba a bari
irresponsible,rashin kulawa,NA,rashin kulawa
jaunty,jaunty,mai iya mu'amala,mai iya mu'amala
jesus,yesu,NA,yesu
jewel,jauhari,NA,jauhari
jewels,jauhari,NA,jauhari
jocular,jocular,mai barkwanci,mai barkwanci
join,shiga,NA,shiga
joke,wargi,NA,wargi
jokes,barkwanci,NA,barkwanci
jolly,wauta,mai dadi,mai dadi
jovial,jovial,mai faran-faran,mai faran-faran
joy,farin ciki,NA,farin ciki
joyful,m,mai farin ciki,mai farin ciki
joyfully,cikin farin ciki,NA,cikin farin ciki
joyous,farin ciki,NA,farin ciki
jubilant,murna,NA,murna
justice,adalci,NA,adalci
justifiably,barata,gaskantacce,gaskantacce
justified,barata,gaskata,gaskata
keen,son,NA,son
kind,irin,kirki,kirki
kinder,mafi alheri,NA,mafi alheri
kiss,sumbace,sumba,sumba
kudos,kudos,jinjina,jinjina
landmark,alamar ƙasa,NA,alamar ƙasa
laugh,dariya,NA,dariya
laughed,dariya,NA,dariya
laughing,dariya,NA,dariya
laughs,dariya,NA,dariya
laughting,dariya,NA,dariya
launched,ƙaddamar,NA,ƙaddamar
lawl,lawl,kyakayta dariya,kyakayta dariya
legal,na shari'a,NA,na shari'a
legally,bisa doka,NA,bisa doka
lenient,mai sassauci,NA,mai sassauci
lifesaver,ceton rai,mai ceton rai,mai ceton rai
lighthearted,mai sauƙin zuciya,NA,mai sauƙin zuciya
like,kamar,NA,kamar
liked,so,NA,so
likes,kwatankwacinku,yana/tana so,yana/tana so
lively,m,mai motsawa,mai motsawa
lmao,Lamao,lamao,lamao
lmfao,lmfao,abin dariya matuka,abin dariya matuka
lol,lol,abin dariya sosai,abin dariya sosai
lovable,abin kauna,NA,abin kauna
love,soyayya,NA,soyayya
loved,ƙaunatacce,NA,ƙaunatacce
lovelies,soyayya,NA,soyayya
lovely,kyakkyawa,NA,kyakkyawa
loving,mai kauna,NA,mai kauna
loyal,m,biyayya,biyayya
loyalty,biyayya,NA,biyayya
luck,sa'a,NA,sa'a
luckily,anyi sa'a,NA,anyi sa'a
lucky,sa'a,NA,sa'a
marvel,yi mamaki,NA,yi mamaki
marvelous,ban mamaki,NA,ban mamaki
marvels,abubuwan al'ajabi,NA,abubuwan al'ajabi
masterpiece,fitacciyar,NA,fitacciyar
masterpieces,manyan abubuwa,NA,manyan abubuwa
matter,al'amari,NA,al'amari
matters,al'amura,NA,al'amura
mature,balagagge,NA,balagagge
meaningful,ma'ana,NA,ma'ana
medal,lambar yabo,NA,lambar yabo
meditative,zuzzurfan tunani,NA,zuzzurfan tunani
mercy,rahama,NA,rahama
merry,murnar,NA,murnar
methodical,Hanyar,NA,Hanyar
miracle,mu'ujiza,NA,mu'ujiza
mirth,murna,NA,murna
mirthful,mai farin ciki,NA,mai farin ciki
motivate,izawa,motsa,motsa
motivated,m,motsa,motsa
motivating,motsawa,NA,motsawa
motivation,dalili,motsarwa,motsarwa
natural,na halitta,NA,na halitta
nice,yayi kyau,NA,yayi kyau
nifty,nifty,mai Jan hankali,mai Jan hankali
noble,mai martaba,NA,mai martaba
novel,labari,NA,labari
obsessed,damu,NA,damu
oks,oks,yarda,yarda
ominous,mai ban tsoro,NA,mai ban tsoro
once-in-a-lifetime,sau daya-a-rayuwa,NA,sau daya-a-rayuwa
opportunities,dama,NA,dama
opportunity,dama,NA,dama
optimism,fata,NA,fata
optimistic,kaffa-kaffa,mai sa ran,mai sa ran
outreach,kai bishara,NA,kai bishara
outstanding,fice,NA,fice
overjoyed,murna da yawa,NA,murna da yawa
paradise,aljanna,NA,aljanna
pardon,afuwa,NA,afuwa
pardoned,afuwa,NA,afuwa
pardoning,yafiya,NA,yafiya
pardons,afuwa,yana yafewa,yana yafewa
passionate,m,mai shauki,mai shauki
peace,zaman lafiya,NA,zaman lafiya
peaceful,zaman lafiya,NA,zaman lafiya
peacefully,cikin aminci,NA,cikin aminci
perfect,cikakke,NA,cikakke
perfected,kammala,NA,kammala
perfectly,daidai,NA,daidai
perfects,cikakke,ya  iya,ya  iya
picturesque,mai ban sha'awa,NA,mai ban sha'awa
playful,mai wasa,NA,mai wasa
pleasant,dadi,NA,dadi
please,Don Allah,NA,Don Allah
pleased,yarda,NA,yarda
pleasure,yardar rai,dadin rai,dadin rai
popular,mashahuri,NA,mashahuri
positive,tabbatacce,NA,tabbatacce
positively,gaskiya ma,tabbaci,tabbaci
powerful,mai iko,NA,mai iko
praise,yabo,NA,yabo
praised,yabo,NA,yabo
praises,yabo,yana yabo,yana yabo
praising,yabon,NA,yabon
pray,yi addu'a,NA,yi addu'a
praying,addu'a,NA,addu'a
prays,yana addu'a,yana addu'a,yana addu'a
prepared,shirya,NA,shirya
pretty,kyakkyawa,NA,kyakkyawa
privileged,gata,NA,gata
proactive,proactive,Gaba-dai-gaba-dai,Gaba-dai-gaba-dai
progress,ci gaba,NA,ci gaba
prominent,shahararre,NA,shahararre
promise,alƙawari,NA,alƙawari
promised,wa'adi,NA,wa'adi
promises,alkawura,ya  alkawarta,ya  alkawarta
promote,inganta,NA,inganta
promoted,ciyar,NA,ciyar
promotes,inganta,yana ciyarwa gaba,yana ciyarwa gaba
promoting,inganta,NA,inganta
prospect,fata,NA,fata
prospects,masu yiwuwa,yana fata,yana fata
prosperous,wadata,NA,wadata
protect,kare,NA,kare
protected,kariya,NA,kariya
protects,karewa,yana  kare,yana  kare
proud,girman kai,NA,girman kai
proudly,alfahari,NA,alfahari
rapture,fyaucewa,NA,fyaucewa
raptured,fyaucewa,NA,fyaucewa
raptures,fyaucewa,NA,fyaucewa
rapturous,fyaucewa,yana faucewa,yana faucewa
ratified,ƙulla,NA,ƙulla
reach,isa,NA,isa
reached,isa,NA,isa
reaches,ya kai,ya kai,ya kai
reaching,kai,kaiwa,kaiwa
reassure,sake tabbatarwa,NA,sake tabbatarwa
reassured,sake tabbata,NA,sake tabbata
reassures,tabbatarwa,NA,tabbatarwa
reassuring,Sanarwa,NA,Sanarwa
recommend,bada shawara,NA,bada shawara
recommended,shawarar,NA,shawarar
recommends,bada shawarar,NA,bada shawarar
redeemed,fanshe,NA,fanshe
rejoice,yi murna,NA,yi murna
rejoiced,yi murna,NA,yi murna
rejoices,murna,NA,murna
rejoicing,murna,NA,murna
relaxed,annashuwa,kwanciyar hankali,kwanciyar hankali
reliant,dogara,NA,dogara
relieve,taimaka,NA,taimaka
relieved,sami sauki,NA,sami sauki
relieves,saukakawa,yana saukakawa,yana saukakawa
relieving,sauƙaƙewa,NA,sauƙaƙewa
remarkable,na ƙwarai,NA,na ƙwarai
rescue,ceto,NA,ceto
rescued,ceto,NA,ceto
rescues,ceto,yana ceto,yana ceto
resolute,yanke shawara,NA,yanke shawara
resolve,warware,NA,warware
resolved,warware,NA,warware
resolves,warware,yana warware,yana warware
resolving,warware,NA,warware
respected,girmamawa,NA,girmamawa
responsible,alhakin,NA,alhakin
responsive,m,mai daukar alhaki,mai daukar alhaki
restful,m,mai hutu,mai hutu
restore,mayar,NA,mayar
restored,mayar,NA,mayar
restores,mayar,NA,mayar
restoring,tanadi,NA,tanadi
revered,girmamawa,NA,girmamawa
revive,rayar,farfado,farfado
revives,yana rayarwa,yana farfado,yana farfado
reward,sakamako,NA,sakamako
rewarded,lada,NA,lada
rewarding,lada,NA,lada
rewards,lada,Yana sakawa,Yana sakawa
rich,mai arziki,NA,mai arziki
right direction,madaidaiciyar alkibla,NA,madaidaiciyar alkibla
rigorous,tsaurarawa,NA,tsaurarawa
rigorously,da tsaurarawa,NA,da tsaurarawa
robust,robust,mai karfi,mai karfi
rofl,rofl,dariya da birgima,dariya da birgima
roflcopter,sarfaraz,dariya daga zaune,dariya daga zaune
roflmao,roflmao,dariya matuka,dariya matuka
romance,soyayya,NA,soyayya
rotfl,rufin,kyakayta dariya,kyakayta dariya
rotflmfao,rotflmfao,kyakayta dariya,kyakayta dariya
rotflol,rufin,kyakayta dariya matuka,kyakayta dariya matuka
safe,lafiya,NA,lafiya
safely,a amince,NA,a amince
safety,aminci,NA,aminci
salient,mai haske,bayyananne,bayyananne
satisfied,gamsu,NA,gamsu
save,ajiye,NA,ajiye
saved,sami ceto,adana,adana
scoop,diba,NA,diba
secure,amintattu,samu,samu
secured,kulla,samu,samu
secures,kullawa,yana samun,yana samun
self-confident,yarda da kai,NA,yarda da kai
serene,mai nutsuwa,NA,mai nutsuwa
sexy,sexy,mai ban sha'awa,mai ban sha'awa
share,raba,NA,raba
shared,raba,NA,raba
shares,hannun jari,yana raba,yana raba
significance,muhimmanci,NA,muhimmanci
significant,muhimmanci,NA,muhimmanci
sincere,mai gaskiya,NA,mai gaskiya
sincerely,da gaske,NA,da gaske
sincerest,rashin kwanciyar hankali,gaskiya ainun,gaskiya ainun
sincerity,ikhlasi,NA,ikhlasi
slick,slick,santsi,santsi
slicker,slicker,mafi santsi,mafi santsi
slickest,slickest,santsi sosai,santsi sosai
smart,wayo,NA,wayo
smarter,wayo,mafi wayo,mafi wayo
smartest,mafi wayo,wayo sosai,wayo sosai
smile,murmushi,NA,murmushi
smiled,yayi murmushi,murmushi,murmushi
smiles,murmushi,yana murmushi,yana murmushi
smiling,murmushi,NA,murmushi
sobering,mai da hankali,yin shashsheka,yin shashsheka
solid,m,mai karfi,mai karfi
solidarity,hadin kai,NA,hadin kai
solution,bayani,mafita,mafita
solutions,mafita,NA,mafita
solve,warware,NA,warware
solved,warware,NA,warware
solves,warware,yana warware,yana warware
solving,warwarewa,NA,warwarewa
soothe,kwantar da hankali,NA,kwantar da hankali
soothed,kwantar da hankali,NA,kwantar da hankali
